input.Down	input.Down2	input.Down2NoFDR	input.DownNoFDR
		LINC02537	CHCHD2P4
		CROCCP2	LINC01010
		LINC01783	EML6
		NBPF1	RTN4
		RPL12P47	ELK1P1
		RPS2P28	CT45A10
		ZNF318	CT45A2
		FAM71C	CT45A6
		HNRNPA1P37	CT45A7
		ANXA1	CT45A8
		SLC10A7	CT45A9
		ABRAXAS1	SAGE1
		GPAT3	ARPP21
		HELQ	ARPP21-AS1
		MRPS18C	PIP4K2A
		RPL30P5	JUN
		SLC25A14P1	LINC01135
		EIF4A2P3	CDK7P1
		OR10Q1	ARMH3
		OR10W1	KCNIP2
		OR1S1	PTPRJ
		OR1S2	SERTAD2
		OR5BL1P	PRUNEP1
		OR9Q1	SLC35B1
		OR9Q2	SPOP
		IPPK	DUX4
		CASTOR2	DUX4L1
		INTS4	DUX4L2
		KCTD14	DUX4L3
		LCE1A	DUX4L4
		LCE1B	DUX4L5
		LCE1C	DUX4L6
		LCE6A	Z82205.1
		SMCP	RF00421
		FREM3	TMPRSS2
		CEP85L	ERICH6
		PLN	ERICH6-AS1
		SSXP10	SIAH2
		Z99496.2	SIAH2-AS1
		CARMIL1	SNRPCP3
		LIPC	NBAT1
		GNAI2P2	HERPUD2
		POLR3A	SIM2
		RPS24	EGFEM1P
		CD200R1	MRGPRX1
		GTPBP8	FKBP10
		NPHP3	JUP
		NPHP3-ACAD11	KLHL10
		NPHP3-AS1	NT5C3B
		TCF12	P3H4
		KATNAL1	TSPAN18
		DNAJC19P9	PCNPP2
		MIS18BP1	S1PR3
		SCG2	RPL5P32
		LINC02159	LINC02627
		LINC02473	CYCSP34
		EEF1DP3	SUGT1P3
		FRY	TPTE2P5
		PIP5K1B	ADGRB1
		NMD3	TSNARE1
			ARHGDIB
			ERP27
			LINC01489
			NCAPH
			BLVRA
			COA1
			ABHD14A
			ABHD14A-ACY1
			ABHD14B
			ACY1
			GPR62
			IQCF1
			PARP3
			PCBP4
			RRP9
			PHLDB2
			ANKRD28
			IFNB1
			IFNNP1
			IFNW1
			IFNWP4
			LOXHD1
			RNF165
			NT5C3A
			RP9
			RPS29P14
			CAPN5
			MYO7A
			ACLY
			CNP
			DNAJC7
			TTC25
			THBS1
			SUSD5
			NEIL3
			TBX21
			EXOC4
			C8orf89
			PRXL2AP2
			FO393415.1
			HDAC2
			HDAC2-AS2
			ADGRG1
			ADGRG5
			CCDC102A
			HMGB3P32
			HIST1H2BPS3
			MICU2
			ZDHHC20
			KRT18P7
			MED6
			TTC9
			AKT1S1
			ATF5
			IL4I1
			NUP62
			PNKP
			SIGLEC11
			SIGLEC16
			TBC1D17
			FAM171B
			ITGAV
			HACD4
			GOLGA6L5P
			LINC00933
			UBE2Q2P1
			UBE2Q2P12
			CNTN1
			FAM172BP
			PCNP
			TRMT10C
			KRBA1
			SSPO
			ZNF467
			C11orf71
			RBM7
			REXO2
			CLCN3P1
			LINC02018
			OR7E121P
			RPS3AP15
			SNRPCP10
			SIPA1L2
			LINC02686
			CBLB
			MAPK10
			PTPN13
			TBCAP2
			USP7
			DPP10
			C1orf158
			LINC01784
			PRAMEF1
			PRAMEF11
			PRAMEF12
			SQOR
			BCOR
			AMPH
			TACR1
			ASIC4
			CHPF
			GMPPA
			INHA
			OBSL1
			SPEGNB
			TMEM198
			SETD3
			KCNB1
			TMEM123
			ANGPT4
			FECH
			NARS
			LINC02028
			KLHL32
			FTH1P2
			RF00432
			RHOU
			BDKRB1
			BDKRB2
			CKS1BP1
			BOP1
			DGAT1
			HSF1
			MROH1
			SCRT1
			SCX
			FEZ1
			LINC02516
			RPL34P31
			B3GALNT2P1
			TMEM244
			RPL9P16
			SFTA3
			GPR135
			VLDLR
			VLDLR-AS1
			KIF3B
			POFUT1
			GRIN2B
			HAGLR
			HAGLROS
			HOXD1
			HOXD3
			HOXD4
			RPSAP25
			RPSAP7
			PPATP1
			KDM2B
			ORAI1
			GPC3
			RPSAP63
			COPS5P1
			RPS23P4
			ANKRD30BP3
			ANKRD54P1
			CUBNP3
			RSU1P2
			GAPDHP37
			MCHR1
			MRTFA
			CDX2
			LINC00543
			PDX1
			PLUT
			URAD
			MINDY2
			RPL17P36
			ABCA13
			CYP4F11
			CYP4F9P
			OR10H4
			CALM2
			STPG4
			FBXO17
			CAV2
			TES
			PLCL2
			EIF4E2P2
			HECW1
			LUARIS
			PPFIBP1
			DCAF4
			DPF3
			MTSS1
			SYNPO2
			LINC00886
			METTL15P1
			PA2G4P4
			SPTLC1P1
			ZEB1
			GRM4
			PPP1R3B
			HECTD2
			ARF1P3
			FER1L6-AS2
			ARIH1
			PHBP20
			TMEM202-AS1
			PPP1CC
			RPL29P25
			ELK3
			LINC02452
			KBTBD8
			PJA2
			LINC00299
			EEF1A1P6
			STEAP1B
			SNX2
			SNX24
			ADAM33
			GFRA4
			SIGLEC1
			AK3
			CDC37L1
			CDC37L1-DT
			SPATA6L
			LINC01091
			PKHD1
			JMJD1C
			TATDN1P1
			RF00477
			LTBP1
			ANXA2
			ICE2
			COL5A3
			OLFM2
			KIF26B-AS1
			LINC00929
			LINC01688
			RGS8
			FKBP1A
			CCDC178
			ACTB
			FSCN1
			EIF4E3
			GPR27
			PROK2
			FBXL7
			AF129408.1
			BRWD1
			BRWD1-IT1
			METTL21AP1
			PSMG1
			TIMM9P2
			C11orf58
			SOX6
			TXLNB
			KRT222
			SMARCE1
			LINC02565
			ELP4
			FGGY
			QSOX1
			CEACAM22P
			IGSF23
			PVR
			GNGT1
			LINC01628
			LINC01799
			RPL34P1
			SFT2D2
			TIPRL
			FYB1
			RICTOR
			CLDN10
			MEMO1P5
			MAST4
			PPIAP78
			LMBR1
			EIF4BP8
			PARP14
			PARP15
			SLC8A1-AS1
			PLB1
			SNRPGP7
			FMO7P
			LINC01675
			ERI1
			Z84486.1
			GDA
			ANAPC10P1
			DNAJC19P7
			ZFYVE9
			LINC02041
			RSL24D1P5
			CD82
			RPL34P22
			INPP4B
			LSM3P4
			RPL5P13
			RPL24P7
			UBE2E2-AS1
			AGBL4
			LPL
			RSL24D1P6
			TM9SF4
			TSPY26P
			LINC00865
			LINC01374
			MARK2P16
			CT69
			MRPS31
			ACAT1
			CUL5
			BCAS2
			DENND2C
			PKMP1
			TRIM33
			ITPR2
			ARHGAP8
			Z83838.1
			LINC01752
			DUBR
			LINC02422
			PPIL4
			ZC3H12D
			LINC02428
			DGKH
			MAPK6P3
			RPS28P8
			C9orf147
			KIAA1958
			CROCC2
			SNED1
			RFTN2
			LINC01948
			RPL26P19
			CCM2L
			PDRG1
			TTLL9
			XKR7
			NHLH1
			VANGL2
			POU6F2
			POU6F2-AS2
			VPS41
			SNRPCP17
			HABP2
			ALS2CL
			FAM240A
			RF00591
			TMIE
			LINC00884
			CENPP
			IARS
			NOL8
			GVINP1
			GVINP2
			OR2AG1
			OR2AG2
			OR6A2
			RF00156
			RPS3AP22
			CHRM3
			CHRM3-AS2
			OR8D4
			IFIT1
			IFIT5
			LIPA
			SLC16A12-AS1
			PAWRP1
			AHCYL2
			DNAH8
			GLO1
			BMP6
			MREG
			CPHL1P
			TM4SF18
			GPHN
			OVOL2
			PTMAP3
			RPL15P1
			EEF1A1P33
			NEDD1
			ATE1
			CNOT11
			TBC1D8
			EPHA6
			ADAM10
			HMGB1P51
			DGKG
			ENTPD6
			PYGB
			HSPA8P5
			CCT4P2
			PKN2-AS1
			RPL36AP10
			PIGCP2
			SLC26A3
			EIF4A2P3
			OR10Q1
			OR10W1
			OR1S1
			OR1S2
			OR5BL1P
			OR9Q1
			OR9Q2
			ARHGAP21
			SILC1
			HMGA2-AS1
			PIM1
			TMEM217
			FGFR1
			LETM2
			NSD3
			RPS20P22
			FOXN3
			ESCO1
			SNRPD1
			COX6CP17
			KCNIP1
			CFAP300
			YAP1
			EDA
			GOLGA6L22
			GOLGA8DP
			HERC2P7
			SPATA31E3P
			DEGS2
			EVL
			LINC01429
			SALL4
			MTATP6P23
			MTCO1P23
			MTCO2P23
			MTND1P20
			MTND2P15
			NEUROG3
			TMEM256P1
			IER5
			NEO1
			SKOR2
			UNC5D
			LINC02273
			TRIM2
			CCR6
			GPR31
			TCP10L2
			USP13
			CCDC150
			GTF3C3
			SGTB
			TRAPPC13
			GPR119
			RBMX2
			SLC25A14
			GRM8
			AF015720.1
			CDCA4P2
			CLCA4
			VAV3
			CECR2
			CLCP1
			FO681548.1
			LINC02384
			MDM1
			TECTA
			LINC00951
			TDRG1
			TANC1
			ALDH1A2
			LIPC
			IGFL1P1
			IGFL2
			IGFL2-AS1
			IGFL3
			RPL12P41
			TGIF1P1
			SV2B
			ADAMTSL1
			ZNF37A
			SH3KBP1
			PDE1A
			CXCR6
			FYCO1
			LZTFL1
			DLGAP4
			TPT1P8
			API5
			HNRNPKP3
			OLIG3
			KCNJ3
			LINC01640
			Z82198.1
			Z82198.2
			Z82198.3
			PUDP
			PFN1P1
			RPL4P3
			VAMP4
			Z98751.1
			Z98751.3
			CDK8
			RF02271
			RPL7P61
			IL17F
			MCM3
			SLC25A20P1
			AKAP14
			NDUFA1
			NKAP
			RHOXF1P3
			RNF113A
			COL4A5
			IRS4
			ABCC8
			KCNJ11
			NCR3LG1
			NUCB2
			ISCA1P2
			DMTF1
			TMEM243
			GRIA1
			GJD3
			PPIAP54
			RARA
			RARA-AS1
			TOP2A
			LINC02227
			CBX5P1
			CGGBP1
			ZNF654
			FER1L5
			KANSL3
			LINC01497
			CYP2E1
			OR7M1P
			SCART1
			SPRY2
			LINC01709
			HS3ST5
			BMP1
			FAM160B2
			HR
			LGI3
			NUDT18
			REEP4
			SFTPC
			ILDR1
			LARP1BP2
			GNL2P1
			ZPBP
			SPHKAP
			FOXA1
			TTC6
			CYP4X1
			PELI1
			SPATA8
			SPATA8-AS1
			MGAT4A
			YWHAQP5
			SHISA9
			LINC01870
			RFX8
			GOLGA5P1
			LPO
			MKS1
			MPO
			PSAT1P1
			H1FNT
			OR5BK1P
			ZNF641
			FOXB2
			LYPLA2P3
			PDIA5
			SEMA5B
			COL14A1
			FAM83G
			GRAP
			SLC5A10
			FAM149B1P1
			LINC00431
			QKI
			LMCD1
			LMCD1-AS1
			HEMGN
			TRMO
			LARGE1
			NOL11
			ADPRH
			CD80
			PLA1A
			RPL10P7
			DERL3
			MMP11
			SLC2A11
			SMARCB1
			CADPS
			DOCK4
			DAZAP2P1
			NOP58
			PSMA2P3
			SUMO1
			DAGLB
			RAC1
			RPSAP73
			NRG1
			SLC35F1
			RASGRF2
			HULC
			LINC02033
			LINC02237
			SERPINA15P
			NEK1
			IPO8P1
			DOCK9
			DOCK9-AS1
			SLC15A1
			IGSF22
			SPTY2D1
			TMEM86A
			RFC3P1
			L3MBTL3
			STK17B
			HNRNPA1P71
			FKBP1AP1
			ZNF552
			ZNF587
			ZNF587B
			ZNF814
			EFNA5
			ANKRD19P
			EEF1DP2
			SNX18P2
			ZNF484
			MAT2B
			RF01210
			ZNF382
			ZNF461
			ZNF529
			ZNF529-AS1
			COPS5
			CSPP1
			PPP1R42
			ZNF862
			MARCH1
			DCAF10
			EXOSC3
			TRMT10B
			CAAP1
			IFT74
			IFT74-AS1
			PLAA
			FP325330.1
			FP325330.2
			GAPDHP72
			LINC00602
			PDE10A
			CD48
			COL22A1
			OR5AZ1P
			OR5BD1P
			AKAP6
			RPS26P40
			SGPL1
			TBATA
			LINC01873
			MEIS1
			MEIS1-AS2
			MEIS1-AS3
			HEY2
			LINC02523
			ALOXE3
			BORCS6
			HES7
			TMEM107
			VAMP2
			FBXW8
			GTF2F2
			KCTD4
			MTOR
			UBE2V2P3
			UBIAD1
			PLA2G2C
			PLA2G2D
			PLA2G2F
			Z98257.1
			FOXN3-AS2
			POMP
			GYG1
			UBQLN4P1
			PDE4D
			FARS2
			DNAJC25
			DNAJC25-GNG10
			GNG10
			LRRC37A5P
			CASC2
			CARMIL3
			CPNE6
			DHRS4-AS1
			DHRS4L1
			NRL
			PCK2
			LINC02068
			SLC31A1P1
			LIMD1
			SRP72P2
			TULP4
			NREP
			STARD4-AS1
			LINC02215
			FHIT
			STK33P1
			LINC02078
			CCDC30
			PPIH
			YBX1
			LIFR
			PCAT5
			MORF4
			RANP6
			ARPC3P5
			LINC02543
			RHOQ
			TMEM247
			EVI5L
			LRRC8E
			LYPLA2P2
			MAP2K7
			PRR36
			BCAS3
			DNAH7
			E2F3P2
			LINC01856
			PLAC9P1
			RAB6C-AS1
			RPL22P7
			ITGB8
			DBF4P1
			BRF1
			JAG2
			NUDT14
			BBX
			DKK3
			LINC02547
			AVP
			OXT
			UBOX5-AS1
			SLC5A8
			UTP20
			PSPC1
			ST6GALNAC4P1
			ZMYM5
			IGF2BP2
			IGF2BP2-AS1
			IZUMO1R
			NAP1L4P2
			YWHAZP1
			PTGER4
			RF00092
			PRMT6
			CBX3
			HNRNPA2B1
			CRPPA
			SOSTDC1
			AF146191.1
			AGGF1P1
			CLUHP4
			DUX4L9
			FRG2
			MLLT10P2
			RARRES2P4
			TUBB7P
			LONRF3
			POLRMTP1
			HTR3B
			USP28
			ST7
			TPM3P1
			AADACL2-AS1
			AF241728.1
			AF241728.2
			MID1IP1
			MID1IP1-AS1
			EDDM3A
			EDDM3B
			EDDM3DP
			RANBP20P
			RNASE6
			IARS2P1
			DNAJC1
			PIEZO1P1
			SLN
			PPIAP74
			RIC8B
			HDGFP1
			IGSF1
			OR2AF1P
			OR7L1P
			GRP
			RAX
			LINC01708
			RPS11P7
			PA2G4P3
			RBM22P1
			ADCY10
			DCAF6
			MPC2
			EXD2
			GALNT16
			CAMKMT
			PREPL
			SLC3A1
			IKZF1
			LINC00670
			RBPJ
			EBF1
			LINC02202
			DCHS1
			ILK
			RRP8
			TAF10
			TPP1
			GREB1L
			PHEX
			CYS1
			KLF11
			RF00568
			RRM2
			PIK3C2G
			RERGL
			LINC01322
			CLVS1
			NR6A1
			OLFML2A
			RPS29P20
			STIM1
			RNF111
			BEND3P2
			LINC00475
			AASDHPPT
			KBTBD3
			MSANTD4
			EIF2S2
			RPS2P1
			ASS1P1
			PPIAP29
			RIPOR2
			CD163
			CD163L1
			HNRNPA1P32
			GORASP2
			ANKMY2
			BZW2
			BLVRB
			PRX
			SERTAD1
			SERTAD3
			SPTBN4
			TMEM132B
			KIRREL1
			LINC01704
			VDAC2P1
			CUL1
			EZH2
			CREB3L1
			LINC02489
			DTNA
			LINC02147
			LINC01938
			FCHO2
			TMEM171
			BNC2
			C9orf92
			ZNF280D
			A1BG
			A1BG-AS1
			ZNF497
			DUTP5
			LINC02535
			TPT1P6
			TMEM154
			LINC02504
			CARMN
			IL17B
			WIPF1
			NPM1P38
			CDKL1
			DMAC2L
			L2HGDH
			CD83
			EP300
			NT5DC2
			SMIM4
			STAB1
			LINC02085
			MYO18B
			Z98949.2
			Z98949.3
			GABPA
			JAM2
			LLPHP2
			ARID2
			MAGEB1
			MAGEB3
			MAGEB4
			NR0B1
			PLCE1P1
			SYT1
			MRPL35P2
			REEP3
			DRD3
			ZNF80
			NLRP13
			NLRP5
			NLRP8
			PEX5L
			SLC9A8
			RPS8P3
			CACNB2
			PLS1
			TRPC1
			C10orf120
			DMBT1
			CACNA1I
			DUPD1
			DUSP13
			PPIAP13
			RPS26P42
			SAMD8
			ASGR1
			ASGR2
			DLG4
			RPL7AP64
			SYT16
			CLYBL-AS1
			CLYBL-AS2
			NRN1
			PKMP5
			RPL22P1
			EIF3A
			NANOS1
			RF00413
			LSM1P2
			DNAJB1P1
			HAS2-AS1
			EYS
			RPL10P13
			USP31
			RF00438
			NCOR2
			CYP2F1
			CYP2S1
			CYP2T3P
			RPL36P16
			RASSF6
			IMPA1P1
			NIPA2P4
			RPS26P34
			SLC10A5P1
			ZNF385B
			CADM1
			RPL12P46
			CYFIP2
			FNDC9
			GLIS3
			LINC00362
			SDAD1P4
			SGCG
			TATDN2P3
			PCDHB10
			PCDHB11
			PCDHB12
			PCDHB13
			PCDHB14
			PCDHB15
			PCDHB16
			PCDHB18P
			PCDHB19P
			PCDHB9
			WDR7
			C6orf203
			CD24
			GALNT8
			GAU1
			OTUD7A
			FAM81A
			MYO1E
			AOX1
			KCTD18
			SGO2
			CUBN
			LRRN2
			CEP152
			EID1
			SHC4
			CLCN3
			ALOX12
			ALOX12P2
			RNF138P2
			COX7B2
			SPRR2C
			SPRR2G
			PRKCB
			GUCA1C
			ETS1
			ETS1-AS1
			FUT9
			CEP112
			ACAD10
			ALDH2
			PRKCH
			EMC2
			OSMR
			OSMR-AS1
			FAM120A
			ADA
			LINC01260
			PKIG
			TMEM106B
			ARID1B
			UTRN
			ARG1
			MED23
			MTND2P8
			EFHC1
			SLC23A2
			GRSF1
			RF00026
			RUFY3
			LINC02672
			SNRPEP8
			ZFYVE1
			SMCO4
			SRP14P2
			LINC01283
			BFAR
			PARN
			APLF
			ARHGAP25
			PROKR1
			HTR3A
			ATG4B
			DTYMK
			ING5
			THAP4
			YWHAZP8
			GLULP3
			UBASH3B
			MCTP2
			FAM83B
			PTCSC2
			AF064866.1
			AKTIP
			DHX58
			GHDC
			HCRT
			HSPB9
			KAT2A
			KCNH4
			RAB5C
			ZNF385C
			PABPC1P10
			STRIT1
			LINC01744
			LINC01745
			DKK4
			IKBKB
			POLB
			RPL5P23
			VDAC3
			CNTNAP2
			FOXP1
			SLC25A15
			LINC02433
			RF01963
			RF01964
			RF01965
			RF01966
			RF01967
			RF01968
			RMST
			CSGALNACT1
			LGALS12
			PLAAT5
			LINC02351
			SLCO3A1
			MYLK
			MYLK-AS2
			DIRC3
			RPL7L1P9
			TNS1
			RBMY2OP
			TSPY13P
			TTTY23
			CCDC144NL
			RNASEH1P1
			FRA10AC1
			PDE6C
			EGFR
			TAOK1
			PPP1CB
			SPDYA
			ENTPD3-AS1
			RPL14
			ZNF619
			ZNF620
			VEGFA
			QRSL1P1
			FETUB
			HRG
			KNG1
			RAB1A
			RF00090
			SI
			FLNB
			DUSP21
			KDM6A
			ABHD17AP3
			CENPF
			UBE2V1P13
			IMMP1LP2
			OAS2
			OAS3
			LEF1
			LEF1-AS1
			SLC16A10
			C18orf21
			RPRD1A
			NENFP3
			CDCA7L
			DNAH11
			ASH1L
			ASH1L-AS1
			DAP3P1
			MSTO1
			RPL12P7
			LINC02098
			CEP126
			MTATP8P2
			RGPD2
			TET2
			TET2-AS1
			LINC02087
			SPECC1P1
			C8orf76
			UBA52P5
			ZHX1
			ZHX1-C8orf76
			ACSM3
			ERI2
			REXO5
			RF00618
			THUMPD1
			CBX3P5
			CDK6
			ANKAR
			ASDURF
			ASNSD1
			EEFSEC
			RUVBL1
			SRSF9P1
			RUNX2
			SNRK
			KCNC3
			NAPSA
			NAPSB
			NR1H2
			POLD1
			SPIB
			RAB4A
			SPHAR
			TMEM78
			LINC01088
			PBX1
			ENTHD1
			GRAP2
			UQCRFS1P1
			Z82206.1
			LINC02005
			SYNE1
			SYNE1-AS1
			LCORL
			PRR5L
			SAMD12
			SAMD12-AS1
			ARFGEF3
			PERP
			CELF2
			THEM7P
			WT1
			TTC30A
			MCTP1
			PCNX2
			RF00157
			SIPA1L1
			RPS27P16
			BMPR2
			APOBEC4
			ARPC5
			RGL1
			THRAP3P1
			UBE3C
			HSPB3
			LINC01033
			RPL37P25
			CFAP46
			NKX6-2
			SCN9A
			GOLGA4
			TCEA1P2
			VGLL4
			MFSD14B
			DRC3
			TOM1L2
			NDUFA4
			SGO1-AS1
			MMP26
			OR51L1
			OR51P1P
			OR52E1
			OR52E2
			OR52J2P
			OR52J3
			OR52S1P
			HMGB1P49
			KLHL42
			MANSC4
			MRPS35
			REP15
			LHFPL3-AS1
			BSX
			JHY
			MED13L
			HCN4
			CCDC15
			CCDC15-DT
			NTM
			PIEZO1P2
			TFDP2
			CDH20
			ENPP2
			LINC02601
			USP9X
			CRADD
			FANCL
			CLDN23
			KLHL15
			AHCYP4
			YY1P2
			TPD52
			TCF12
			DSTYK
			RBBP5
			COX7B
			MAGT1
			AP1B1
			NEFH
			RFPL1
			RFPL1S
			RFPL4AP6
			RPL4P1
			PLK4
			ERBB4
			HSPA4L
			SLC25A31
			TOX3
			OSBPL3
			SNRPCP19
			ROCK1
			CD274
			PDCD1LG2
			HSPBAP1
			SLC49A4
			BACH2
			ZCCHC7
			KRT8P46
			LRRC37A15P
			MANBA
			PPIAP63
			TTC28
			LPIN2
			SNRPCP4
			LINC01936
			DLGAP1-AS1
			DLGAP1-AS2
			CCR3
			FLT1P1
			CATSPERB
			ANGPTL2
			ABHD6
			DNASE1L3
			FLNB-AS1
			RPL30P13
			LINC01814
			TNFSF11
			CCNK
			NRP1
			LINC02668
			CFAP299
			LINC00333
			TPRG1
			MIER1
			WDR78
			C1QTNF5
			CBL
			MFRP
			RF01225
			RNF26
			USP2
			FABP1
			THNSL2
			DPYSL2
			PNMA2
			DENND1A
			COL24A1
			ZNHIT6
			AAMDC
			RSF1
			GNG2
			OR7E105P
			OR7E106P
			OR7E159P
			GAPDHP28
			PPP1R3C
			GMEB1
			RF00422
			YTHDF2
			LINC01267
			SLC6A6
			CCT4
			COMMD1
			LINC02143
			LDLRAP1
			MAN1C1
			OTUD5
			PIM2
			PQBP1
			SLC35A2
			TIMM17B
			CD47
			LINC01215
			AGTPBP1
			IZUMO2
			MYH14
			NR2F1
			NR2F1-AS1
			ESAM
			NRGN
			SIAE
			SPA17
			VSIG2
			RPL21P99
			TMTC1
			HEATR5A
			KCNAB1
			ST13P15
			CDKN2C
			FAF1
			CAV3
			OR7E122P
			SSUH2
			MCUR1
			CACNG2
			HHAT
			HNRNPA3P4
			PTCHD4
			OBSCN
			OBSCN-AS1
			PAGE2
			PAGE2B
			SETMAR
			PIAS1
			ASH2L
			EIF4EBP1
			CHD8
			EIF4EBP1P1
			METTL3
			RAB2B
			TOX4
			AQP10
			RPSAP17
			RSL24D1P9
			PLBD1
			PLBD1-AS1
			FCF1P2
			NME6
			SPINK8
			GCM1
			SOD1P1
			ARMC3
			HHLA2
			HNRNPA1P17
			PPP3CA
			RWDD3
			TMEM56-RWDD3
			LAMC1
			LAMC1-AS1
			NETO1
			LIPG
			SMUG1P1
			ARL4AP2
			NSUN7
			EGFLAM
			EGFLAM-AS1
			EGFLAM-AS2
			EGFLAM-AS3
			FAM189A1
			NSMCE3
			RF00201
			CMIP
			PPIAP51
			IGF2
			IGF2-AS
			INS
			INS-IGF2
			TH
			ST8SIA5
			ARL2
			ARL2-SNX15
			BATF2
			CDCA5
			NAALADL1
			SAC3D1
			SNX15
			SEM1
			IL6ST
			LINC02080
			METTL23
			MFSD11
			SRSF2
			STRBP
			LINC01625
			ERRFI1
			PARK7
			LYAR
			TMEM128
			ZBTB49
			NAMPT
			KRT8P42
			SGK1
			LNX2
			NPM1P4
			POLR1D
			OSBPL6
			FMO10P
			FMO9P
			MAN1A2
			HDAC9
			CETP
			HERPUD1
			NLRC5
			RPS24P17
			SLC12A3
			RNY1P14
			TBC1D9
			ACTR1B
			C2orf92
			COX5B
			UBTFL6
			CDC16
			CFAP97D2
			HDDC2
			C1orf87
			MRPL57P7
			B3GNTL1P2
			TNFRSF21
			SLC35D1
			RPL13AP3
			MEGF11
			CDK17
			TNFSF10
			PAICSP2
			LINC02177
			B3GNT3
			FCHO1
			MAP1S
			BPESC1
			MRPS22
			PRR23B
			PRR23C
			RPL7L1P7
			LINC01179
			BOK
			BOK-AS1
			APTR
			PTPN12
			RSBN1L
			PPIF
			ZMIZ1
			FAM104B
			MTCO1P52
			MTND1P30
			MTND2P24
			MTRNR2L10
			LINC01963
			XRCC5
			CDC73
			GLRX2
			RO60
			SCARNA18B
			UCHL5
			CDC34
			GZMM
			MADCAM1
			ODF3L2
			TPGS1
			KRT223P
			KRT24
			FBXO47
			HYDIN
			GTF2A1L
			TPT1P11
			TMEM260
			NCK1
			NCK1-DT
			RAD51AP1P1
			SLC35G2
			TOX
			BIN2
			DAZAP2
			SMAGP
			BBC3
			C5AR1
			CCDC9
			INAFM1
			ELMO2P1
			GOLGA6L1
			ANAPC15
			FOLR1
			FOLR3
			LAMTOR1
			RPEP6
			ENO1P1
			DDX10
			EXPH5
			RF01293
			ACY3
			ALDH3B2
			OR7E145P
			RPL37P2
			TBX10
			UNC93B5
			FAM157C
			LINC02193
			HSF2
			PKIB
			SERINC1
			Z99129.1
			Z99129.3
			Z99129.4
			GRHL2
			PRKX
			RPS26P6
			YWHAZ
			DYRK1A
			NPHP3
			NPHP3-ACAD11
			NPHP3-AS1
			ADHFE1
			VXN
			SCARA5
			VRK3
			CASP14
			CCDC105
			SLC1A6
			CRYGN
			ETF1P2
			RHEB
			C20orf78
			SCP2D1
			HOOK1
			CEP55
			MYOF
			MME
			GTF2IP6
			TUFMP1
			VN1R71P
			ITGA1
			PELO
			BDP1
			HMGN1P12
			MCCC2
			CORIN
			PSMG3
			PSMG3-AS1
			TFAMP1
			TMEM184A
			DNM1P17
			EEF1A1P39
			GOLGA2P6
			MTPAP
			NIFKP1
			NPM1P42
			CLIC1P1
			HNF1A
			HNF1A-AS1
			RPL12P33
			SPPL3
			GIHCG
			CCDC185
			BAMBI
			LINC01517
			ELOCP18
			KDM2A
			COG7
			GGA2
			RF00072
			NDUFS6P1
			SMYD2
			SDCBP2
			SDCBP2-AS1
			SNPH
			SNX4
			TRIB2
			DIO2
			DIO2-AS1
			SVEP1
			RAI14
			TTC23L
			ZNF432
			ZNF614
			ZNF841
			AKT3
			GPR63
			CSTF3
			DEPDC7
			LINC00294
			PIGCP1
			TCP11L1
			THSD7A
			DMRT3
			GPATCH2L
			BSNDP2
			FAM182B
			LINC02153
			FOXF2
			FOXQ1
			LINC01394
			DRC1
			OTOF
			INTS4
			OR2AP1
			OR6C4
			OR6C64P
			OR6C68
			GPRIN3
			NSL1
			TATDN3
			DACH2
			IPO5
			SLC38A9
			C5orf66
			C5orf66-AS1
			CATSPER3
			PITX1
			LRRC8B
			RPL35AP33
			SMPD3
			SMIM38
			TUSC3
			ELOCP30
			HNRNPA3P1
			LINC00840
			LINC02658
			RPL7P11
			RPL7P7
			MYLK3
			ORC6
			VPS35
			MGAT5
			ASAP1
			RPL5P1
			SNRPN
			SNURF
			GNAZ
			PIGL
			CCDC7
			CDH23
			DDX28
			DPEP2NB
			DUS2
			NFATC3
			LINC01365
			EML1
			KANSL1
			AF003529.1
			CCER2
			ERVK9-11
			MRPS12
			NFKBIB
			SARS2
			SIRT2
			C7orf66
			EIF4A1P3
			RF00272
			LRIG2
			SLC16A1-AS1
			ZMIZ1-AS1
			BOLA3
			BOLA3-AS1
			FNBP1P1
			MOB1A
			MTHFD2
			PCA3
			PRUNE2
			RF01894
			KLF10
			POU5F1P2
			OSBPL10
			OSBPL10-AS1
			NARSP2
			ATRNL1
			GPR158
			GPR158-AS1
			LINC01516
			CCDC152
			GHR
			MAP3K20
			RAPGEF4
			SRCIN1
			LDLRAD4
			BTF3P2
			EIF4A1P12
			LINC02300
			MTREX
			PLPP1
			LINC01251
			PTENP1
			PTENP1-AS
			C12orf29
			C12orf50
			CEP290
			ITIH6
			MAGED2
			EPS15
			SNRPEP5
			TNFSF15
			SLC9A2
			TENT2
			ANGPT1
			AKAP8
			AKAP8L
			RASAL3
			WIZ
			PKNOX2
			OR13A1
			KCNK5
			SLC2A1
			SLC2A1-AS1
			STK39
			PEBP4
			EPB41L4A
			BRD1
			RPL5P35
			Z98885.1
			Z98885.2
			Z98885.3
			NOS1AP
			CCDC196
			FAM49A
			FBXL21P
			IL9
			SLC25A48
			AFF3
			ISCA2P1
			MIAT
			MIATNB
			RF01874
			RF01875
			RF01876
			RF01877
			Z99774.1
			MDH1
			RPS4XP5
			WDPCP
			BCLAF1P1
			OR7E117P
			RPS24P14
			RPS3AP39
