input.Down	input.Down2	input.Down2NoFDR	input.DownNoFDR
ST3GAL5-AS1	LIPC	SH3GL2	DAAM1
KRT18P42	ARF1P3	TEAD4	CASP12
LOXHD1	FER1L6-AS2	TULP3	CASP17P
RNF165	ZFAND3	LINC01255	PCAT1
GPR88	RF00003	LINC01928	RSL24D1P11
UTRN	NDUFAF6	HNRNPCL1	PUM2
LINC02435	LINC01304	LINC01784	PTPRK
AGTPBP1	ENOX2	PRAMEF1	FUNDC2P2
HDGFP1	KIZ	PRAMEF11	LINC00607
IGSF1	LINC00237	PRAMEF12	DLGAP2
OR2AF1P	RPL24P2	PRAMEF30P	ACAD9
OR7L1P	KRT8P18	BLOC1S6	MARK2P17
MGAT4A	MTND4LP18	DPPA5P2	MARK2P6
YWHAQP5	MTND6P25	HMGN2P46	MARK3P3
NBAT1	COL9A2	SQOR	RAB7A
MMP20	SMAP2	ARHGEF40	RPS15AP16
ZBTB20	PDSS2	CKAP2P1	SLC1A1
ZBTB20-AS4	SOBP	NDRG2	CALCB
CERS3	GRIN3A	OR5AU1	FANCI
LINS1	PPP3R2	TMEM253	POLG
PRKXP1	HSPD1P15	ZNF219	AATF
FBXL22	GRAMD1B	ITIH5	ACACA
HERC1	SF3A3P2	TACR1	ELOCP29
USP3	OSBPL1A	ANKRD44	OR1M1
USP3-AS1	RPL12P10	ANKRD44-IT1	OR7D2
CYP19A1	SNHG26	CNBD2	OR7G1
PCBP2P3	TOMM7	PHF20	OR7G15P
RF02271	ST3GAL5	SCAND1	OR7G2
KAT6B	AHI1	ATXN7L3B	OR7G3
CD1A	LINC00271	MRPL45P1	ZNF317
CD1C	RF00019	RF00026	COQ10B
HMGN1P5	FLRT3	RGS4	NPM1P46
ANXA2	SETD5	B3GLCT	RF00394
SGCD	LINC01013	HSPH1	SF3B1
SLC22A10	MC3R	PCDH15	TRANK1
LSM3P2	ETS1	DCK	NLN
SUCLG2P2	KANSL1	SLC4A4	SAMD4A
TMCC3	IFI16	LYPLA1	SLC16A7
SPTLC1P2	PYHIN1	TCEA1	GRIA3
AF213884.2	ANK2	TDGF1P5	LIMCH1
SLC39A8	MT1E	SIM2	RPL12P20
PHKBP1	MT1L	MAP3K9	PTPRT
PLCB1	MT2A	LINC02337	ADH5P3
PPIAP65	MT3	SMOC2	FMN2
PGAM1P12	MT4	CEND1P1	RF00012
CRYBG1	LINC00885	CEACAM1	ITM2B
RF00019	PCYT1A	CEACAMP2	COL6A6
ECH1	SLC51A	DYNC1I2	SBF2
HNRNPL	ZDHHC19	AKNAD1	SBF2-AS1
LGALS4	LINC01850	SPATA42	ESRG
LGALS7B	RPL23AP29	STXBP3	RPS15P5
RINL	CLIC5	PCBP2P3	GCSAM
LINC02383	ENPP4	RF02271	TBILA
LINC02436	ENPP5	UST	OLFML1
BEND6	AUH	UBE3C	MYO1D
FTH1P15	NFIL3	MTCYBP44	DUXA
KIAA1586	TSPYL5	GHRH	USP29
MRPL30P1	LINC01565	MANBAL	ZIM3
ZNF451	RPN1	RPN2	ZNF264
CEP55	MRPL35P4	LCLAT1	PIKFYVE
MYOF	PRPS2	MRPL15	PTH2R
AF279873.3	PSMA6P2	GLCCI1	CTNND2
BUD31P1	AIG1	NEU3	PRPF38AP1
DUSP26	NCOR2	SPCS2	ENOX1
RNF122	ALS2	XRRA1	DNAJC2
AASDH	MPP4	CDC42BPA	PSMC2
PAICS	LINC00538	ABI3	RPS29P16
PPAT	PROX1-AS1	GNGT2	KRT18P64
RPL7AP31	LOXHD1	PHOSPHO1	DNAJA1P2
EPS15	RNF165	IFT43	CYP4A11
ADAMTSL3	SCARNA20	TGFB3	CYP4Z2P
HILPDA	USP32	TTLL5	RIC1
IMPDH1	CAPNS1P1	EPG5	FADS2P1
METTL2B	GBP1P1	INIP	ADGRB3
ANKFN1	GBP6	CD48	NPIPB4
HSD17B3	LINC02065	SETP9	RRN3P1
SLC35D2	SREK1	SLAMF7	SMG1P4
ADAMTS18	HIPK2	TENM2	RAB11FIP4
SLC16A10	CCNY	ECHDC1	PRMT8
SETP9	CREM	RNF146	ABI3BP
SLAMF1	LINC02634	SEPT5	CFH
RPL21P103	ACTL8	BPIFB1	KCNT2
RPL12P23	MTUS2-AS2	BPIFB5P	ERVK3-1
C9orf170	TRDC	BPIFB9P	ZNF544
FP325330.3	TRDD1	CDK5RAP1	ZNF8
CCDC26	TRDD2	LINC00487	ZSCAN22
ADCK5	TRDD3	LINC02106	THSD7B
CPSF1	MON1B	BAZ1A	CLDN15
FBXL6	HNRNPCL1	GASK1A	DGAT2L7P
SCRT1	LINC01784	CACNA2D3	FIS1
SLC39A4	PRAMEF1	CEP57	MOGAT3
SLC52A2	PRAMEF11	FAM76B	NAT16
TMEM249	PRAMEF12	SLC36A4	PLOD3
VPS28	PRAMEF30P	PDHX	RPSAP46
GBA3	CHAF1B	PLPP4	VGF
INSR	CLDN14	ALOX15P2	ZNHIT1
RF00100	MORC3	EEF1DP2	C5orf24
SEC22B	INTS4	SNX18P2	DDX46
GALNT17	KCTD14	ZNF484	TXNDC15
MACROD2	HEPACAM2	LINC01796	CARM1P1
MACROD2-IT1	SAMD9L	FAM169B	LNCARSR
RNF11P2	GKAP1	LINC02351	TLE4
CUBNP2	KIF27	KSR2	LINC00691
OR6D1P	ALG1L13P	MTCYBP6	NPM1P23
COL27A1	FAM85B	MTND4P6	SPOCK1
LINC01955	FAM86B3P	RF00012	PLCB1
NECTIN3	EXO5	NDUFB9P2	DCTN6
NECTIN3-AS1	ZFP69	CCBE1	MBOAT4
BARX1	ZNF684	MCUR1P1	EIF4A2P1
BARX1-DT	FOSL1P1	SMG6	PTPN2
GTDC1	LARP1B	LINC00955	SEH1L
BTBD8	UTRN	LRPAP1	STK25P1
GAPDHP46	FOXP2	LINC01709	BDH2
LPCAT2BP	PPP1R3A	DRAM1	CENPE
PRKAR1AP1	SLC39A8	NENFP2	AKAP2
SETSIP	PCAT1	HNRNPA1P59	PDCL3P2
TARDBPP1	POU5F1B	KLHL12	KIF1A
HNRNPA1P76	UBQLN1	RABIF	KIAA1211
PPIAP40	C1orf115	C1orf112	CD38
RF00409	HDAC1P2	SELP	ADAM23
STIM1	CNOT6	LRMDA	HNRNPA1P51
CCDC78	OPCML	CYP2U1	KCTD9P6
CHTF18	LINC02422	HADH	KALRN
CIAO3	AGL	SGMS2	C1D
FAM173A	LINC01644	SOX5	PNO1
GNG13	RIMBP2	NTRK3	PPIAP64
HAGHL	NRSN2	ANO10	WDR92
MSLN	NRSN2-AS1	CRPPA-AS1	RERE
MSLNL	SOX12	RPL36AP29	PTCSC3
RPUSD1	TRIB3	ISCA2P1	AMT
OAF	RUNX2	MIAT	GPX1
POU2F3	SUPT3H	RF01874	RHOA
TRIM29	LINC02240	RF01875	RHOA-IT1
MAP3K5	ASLP1	RF01876	TCTA
RF00066	DRICH1	RF01877	USP4
ZNF710	GUSBP11	Z99774.1	DLGAP1
ZNF710-AS1	ACVR1C	PGBD4P5	CASP9
VEGFA	AADAC	INPP5F	CELA2B
GLDC	AADACP1	ANKRD49	DNAJC16
KDM4C	PRKCQ	C11orf97	SCARNA21B
RNF2P1	KCND2	MRE11	LINC02404
RPL23AP57	B3GNTL1P2	ALDOAP2	CYP4A22
RPS3AP54	TNFRSF21	EDRF1	CYP4A22-AS1
PANK2	LRRC4C	EDRF1-DT	CYP4Z1
PCAT1	MATN4	TEX36	LINC00853
BCRP1	RBPJL	SP3	MTND1P34
GGT5	SDC4	LINC01680	PDZK1IP1
GGTLC4P	SYS1	TRIM60	ALX4
POM121L9P	SYS1-DBNDD2	TRIM75P	CCDC26
SPECC1L	KATNBL1P4	LINC01217	ACADSB
SPECC1L-ADORA2A		CD109	IKZF5
C2orf49		C6orf52	PSTK
TGFBRAP1		GCNT2P1	ACTA2
LINC01973		PAK1IP1	ACTA2-AS1
GNG2		DLGAP5	FAS
RXFP2		BEND5	RF02116
RPL36AP6		TUBB4BP5	FTH1P10
H2AFV		RPS26P24	LINC02111
LINC01952		C8orf37	LINC02217
PPIA		C8orf37-AS1	OSBPL1A
PURB		MRPL35P2	NCALD
COL7A1		RF00004	CYP2A6
PFKFB4		CALD1	CYP2A7
SHISA5		LINC02419	CYP2A7P2
UCN2		ZNF510	CYP2F2P
UQCRC1		PSAP	CYP2G1P
CDH23		ANKRD50	PRKG2
CDH23-AS1		GJA10	ATL1
CD3EAP		RPL22P14	MAP4K5
ERCC1		CLINT1	SNRPGP1
ERCC2		CDK8	C1orf112
PPP1R13L		THAP12P6	SELP
BAHD1		BPI	LINC00251
DISP2		KIAA1755	RPL31P41
IVD		IKZF1	ZNF521
KNSTRN		AHCYL2	C10orf91
PHGR1		EFHB	LINC01165
RNY1P7		HSPA8P18	DNAAF4
RPL26P34		RAB5A	DNAAF4-CCPG1
EIF5B		ZMIZ1	KLHL29
REV1		DHDDS	HNRNPCP6
TXNDC9		HMGN2	OR13H1
GNA11		LIN28A	ANP32A
GNA15		LINC01592	ARG2
KF456478.1		ENOX1	COX7A2P1
S1PR4		RPL36P19	RDH11
ABR		CCDC196	RDH12
RREB1		ERICH6	VTI1B
ABHD17AP5		ERICH6-AS1	NUDT19P4
HDAC9		SIAH2	SUPT3H
PPP1R3B		SIAH2-AS1	TMF1P1
MMAA		SNRPCP3	ARHGAP6
NCOA4P3		BASP1	ATG3
SMAD1		LINC01886	BTLA
STK3		NAV2	OR7E100P
FOXJ3		BTF3P6	SLC35A5
RIMKLA		CRYZL1	PAPSS2
AKAP2		DONSON	RPS26P38
ADAM10		GART	ANAPC5
LIPC		SON	CAMKK2
CETP		ERVMER61-1	LPAR6
HERPUD1		FDPSP1	RB1
NLRC5		ANP32A	RCBTB2
PPP3CA		PSMD14	RF00017
ARHGAP20		SLC4A10	ART2P
CNN1		TBR1	LINC01537
ECSIT		RAG2	PDE2A
ELAVL3		ITSN1	HECW2
PRKCSH		MICAL3	CHD6
ZNF653		LINC02433	RPL12P11
KIDINS220		LINC01248	BANF1P5
MBOAT2		SOX11	BCAP29
CLMP		GMPR	RF01233
FGF2		MRPL42P2	SLC26A4
NUDT6		PKHD1	SLC26A4-AS1
SPATA5		SLC25A38P1	WBP1LP2
BSNDP2		Z98043.1	METTL5
FAM182B		ARHGEF11	UBR3
TENM3		DUSP18	SRRM3
RNF111		OSBP2	EPHB1
HELLS		ACOT11	ABCB11
TBC1D12		HNRNPA1P63	G6PC2
MORN1		LINC01488	SPC25
RER1		SKOR1	COL9A3
SKI		CATSPERB	LINC00659
MAP7D2		TC2N	MRGBP
CLASRP		LINC01119	NTSR1
CLPTM1		MCFD2	OGFR
RELB		TTC7A	OGFR-AS1
COA5		ZNF229	DUXAP2
INPP4A		ZNF285	NACA4P
UNC50		ZNF285B	ALG11
NKIRAS1		ENDOU	FABP5P2
NR1D2		RAPGEF3	NDUFAF6
RPL15		RPAP3	CYCTP
ANKIB1		SLC48A1	PDE11A
KRIT1		GRAMD4P5	RBM45
LRRD1		POTEB2	BARD1
LINC01744		LINC00870	SNHG31
LINC01745		LINC00877	CTIF
PTH2R		EMCN	RPL3P6
ISM1		LINC01142	ZSWIM6
ISM1-AS1		ARHGAP21	ANKRD44
HOMER1		CACNA1C	HNRNPA3P15
PLXNA2		CACNA1C-AS2	DAB1
LINC02363		CACNA1C-AS3	LARP7P4
MYL12BP2		LINC01579	MAPK4
CEACAM5		CRADD	LINC02493
CEACAM7		AIFM1	TSEN2
DNAJC19P3		ELF4	HNRNPA1L2
CLNK		RAB33A	SUGT1
INTS4		ANKS1B	EMP1
KCTD14		CACNB2	MTND5P34
ACNATP		PAX9	FEM1B
PLPPR1		SLC25A21	ITGA11
RF00322		KCNH7	DNAJB9
MCUR1		EGFEM1P	PNPLA8
ANKRD19P		LINC02082	THAP5
EEF1DP2		RPL21P43	NUDT6
SNX18P2		BACE2	SPATA5
ZNF484		FAM3B	SMKR1
LINC02041		R3HDM1	SNRPGP3
RF01210		ZRANB3	CRISP3
ARL2BPP4		FRMD4B	PGK2
DOCK11		RBM43P1	KIF7
IL13RA1		AMACR	TICRR
RF00566		RXFP3	AAR2
LINC02039		SLC45A2	EPB41L1
EWSAT1		MTNR1B	RAD51B
GLCE		SNRPGP16	LINC02550
LINC02321		FOSL1P1	RPS17P15
RPS6KA5		LARP1B	ACSBG1
TTC7B		COX10-AS1	DNAJA4
STRA8		TEAD1	C1orf105
WDR91		AF279873.3	DNM3
CTSL		BUD31P1	PIGC
CTSL3P		DUSP26	GOT2P1
DAPK1		CHML	MTCO2P34
CA9		KMO	RYR3
CREB3		OPN3	ABCA7
GBA2		WDR64	CNN2
MSMP		DNAJC3	GPX4
RGP1		DNAJC3-DT	POLR2E
TLN1		MTCYBP3	SBNO2
TPM2		MTND5P2	LINC02296
FCGBP		MTND6P18	ST3GAL1
