input.Down	input.Down2	input.Down2NoFDR	input.DownNoFDR
			AGBL4
			LPL
			FOXD2-AS1
			TM9SF4
			C14orf132
			LINC01374
			LINC01010
			RPL7AP61
			LINC02235
			ZC3H14
			ACAT1
			PKMP1
			ITPR2
			Z83838.1
			LINC01752
			DUBR
			LINC02422
			VLDLR-AS1
			ATG3P1
			ZC3H12D
			ZYG11AP1
			LINC02428
			DGKH
			DOCK9
			C9orf147
			CROCC2
			PPIAP14
			RFTN2
			EXT1
			NUCB2
			LINC01948
			PPP1R3A
			XKR7
			LINC02098
			VANGL2
			POU6F2
			SNRPCP17
			HABP2
			ADARB2-AS1
			RF00591
			LINC00884
			IARS
			OR2AG2
			RPS3AP22
			KATNAL1
			RPL23AP56
			CHRM3-AS2
			OR6M3P
			IFIT5
			PAWRP1
			AHCYL2
			LINC01428
			DNAH8
			BMP6
			GLYAT
			COCH
			EML6
			MREG
			CPHL1P
			LINC01709
			GPHN
			OVOL2
			EEF1A1P33
			HSPA8P4
			IER5L
			RNY1P3
			EOMES
			TBC1D8
			EPHA6
			ADAM10
			MCU
			DGKG
			ROCK1
			ENTPD6
			CCT4P2
			RPL36AP10
			SMARCA2
			PIGCP2
			OR1S1
			ARHGAP21
			CEP152
			HMGA2-AS1
			BACH2
			PIM1
			LETM2
			STPG2-AS1
			FOXN3
			ESCO1
			COX6CP17
			KCNIP1
			YAP1
			EDA
			GOLGA8DP
			ELAC2
			DEGS2
			SALL4
			LRRC37A2
			NEUROG3
			IER5
			ROBO1
			NEO1
			SKOR2
			ALG1L13P
			UNC5D
			LINC02273
			CENPBD1P1
			TRIM2
			SDK1
			ISG20
			TCP10L2
			USP13
			LINC01493
			GTF3C3
			SGTB
			CBLN4
			PRPF19P1
			RBMX2
			CCDC33
			AF015720.1
			CDCA4P2
			PAICSP2
			VAV3
			CECR2
			MDM1
			TECTA
			TDRG1
			TANC1
			ALDH1A2
			IGFL2
			GCFC2
			TM2D3
			SV2B
			CHST11
			ADAMTSL1
			NOVA2
			ZNF37A
			SH3KBP1
			PDE1A
			FYCO1
			DLGAP4
			TPT1P8
			PPDPFL
			API5
			OLIG3
			KCNJ3
			LINC01640
			IMMP2L
			PUDP
			RPL4P3
			CDK8
			RPL7P61
			PGAM1P1
			MCM3
			AKAP14
			IRS4
			KCNJ11
			LINC02573
			RPS11P1
			RF00561
			ISCA1P2
			TMEM243
			GRIA1
			PPIAP54
			RPS29P33
			ZNF654
			FER1L5
			LINC01497
			FAM71C
			OR7M1P
			SPRY2
			LINC02315
			HS3ST5
			HR
			CAMK1D
			ILDR1
			PTPRN2
			LARP1BP2
			GNL2P1
			SPHKAP
			CDH12
			INSL5
			TOP3A
			TTC6
			CYP4Z1
			PELI1
			SPATA8
			YWHAQP5
			LINC01870
			GOLGA5P1
			HIST1H2APS6
			LPO
			PSAT1P1
			H1FNT
			LYPLA2P3
			PDIA5
			KCNC2
			COL14A1
			SLC5A10
			LINC00423
			SPATA8-AS1
			LINC00431
			QKI
			NPM1P48
			LMCD1-AS1
			HEMGN
			C12orf49
			Z82198.2
			ERGIC1
			NOL11
			PLA1A
			LINC02264
			SMARCB1
			CADPS
			DOCK4
			PGDP1
			SUMO1
			DAGLB
			NRG1
			SLC35F1
			RASGRF2
			HULC
			HSPD1P6
			DLG1
			LINC02237
			NEK1
			IPO8P1
			SPTY2D1
			RFC3P1
			L3MBTL3
			HNRNPA1P71
			HACD4
			ZNF587
			POLM
			RPS29P14
			EFNA5
			ZNF484
			MAT2B
			RF01210
			ZNF382
			PPP1R42
			DHCR7
			ZNF862
			C17orf67
			MARCH1
			DCAF10
			PLAA
			GSTA1
			FP325330.1
			PDE10A
			SETP9
			MTND1P22
			COL22A1
			OR5BD1P
			RPS17P11
			AKAP6
			RPS26P40
			NLGN4X
			MEIS1
			LINC02523
			ASCC2
			CD163
			PPIAP65
			SFSWAP
			ATXN7L3B
			CLUHP11
			LINC02476
			INSM1
			VAMP2
			TPT1P7
			UNC13C
			FBXW8
			RAG2
			GTF2F2
			UBE2V2P3
			ARHGAP23
			PLA2G2D
			FOXN3-AS2
			POMP
			UBQLN4P1
			PDE4D
			BRWD1P2
			ENSAP1
			GNG10
			CASC2
			DUSP10
			CARMIL3
			LINC02068
			LIMD1
			LRCH3
			TULP4
			NREP
			LINC02215
			LINC01098
			LINC02078
			PPIH
			C6orf141
			RAPGEF4
			LIFR
			REP15
			PCAT5
			ST13P2
			RANP6
			GCM1
			ARPC3P5
			RHOQ
			EVI5L
			NRG1-IT1
			BCAS3
			DNAH7
			OR7E26P
			PLAC9P1
			ITGB8
			DBF4P1
			NUDT14
			BBX
			DKK3
			UBOX5-AS1
			BTBD11
			CNTN5
			SLC5A8
			ST6GALNAC4P1
			IGF2BP2
			IZUMO1R
			NAP1L4P2
			GARS-DT
			YWHAZP1
			PPARG
			RF00092
			PRMT6
			CBX3
			SOSTDC1
			DUX4L9
			LONRF3
			BCAS2
			FBXO22
			POLRMTP1
			USP28
			LINC00276
			ST7
			AADACL2-AS1
			AF241728.1
			TENT5A
			EDDM3A
			IARS2P1
			DNAJC1
			RPSAP72
			PIEZO1P1
			INPP4B
			TRAPPC9
			SLN
			PPIAP74
			RIC8B
			OR2AF1P
			GRP
			CBX3P6
			LINC01708
			GPR160
			RPS11P7
			PA2G4P3
			DCAF6
			ATXN1
			EXD2
			IKZF1
			LINC00670
			RBPJ
			AGTPBP1
			TPP1
			TSSC4
			IQCJ-SCHIP1
			PHEX
			CYS1
			PIK3C2G
			TRIM9
			CLVS1
			NR6A1
			RPS29P20
			DCDC1
			RNF111
			SLC24A2
			BEND3P2
			MSANTD4
			RPS2P1
			TNFSF4
			COL4A2
			ASS1P1
			CACNG5
			GNG12-AS1
			RUNX2
			RPL31P9
			FGD5
			LINC01392
			LINC01876
			LINC01440
			HNRNPA1P32
			MREGP1
			GORASP2
			MECOM
			ANKMY2
			CDH7
			SERTAD3
			MEGF10
			TMEM132B
			RHOBTB2
			LINC01704
			VDAC2P1
			Z98949.1
			CUL1
			KIAA1109
			LINC02489
			MAN1A1
			DTNA
			LINC02147
			TMEM171
			SNAI3
			C9orf92
			ZNF280D
			ZSCAN22
			GUCY1A2
			LINC02535
			TG
			VN1R76P
			WWOX
			TMEM154
			MAP3K7
			LINC02504
			CARMN
			WIPF1
			FBXO32
			NPM1P38
			DMAC2L
			RPL21P67
			SIM1
			YWHAZP2
			CD83
			RF00554
			GZMB
			COMMD1
			SMIM4
			SORCS2
			Z98949.2
			RPL7AP50
			LINC02474
			GABPA
			ARID2
			ALOX15
			PLCE1P1
			FKBP1BP1
			SYT1
			REEP3
			HINT1
			DRD3
			ARMC3
			NLRP8
			PEX5L
			RC3H1
			SLC9A8
			DUX4L37
			RPS8P3
			CACNB2
			TRPC1
			SNRPD2P1
			KPNA6
			DMBT1
			CACNA1I
			PPIAP13
			VPS11
			LINC02562
			RPL23AP41
			RPL7AP64
			SYT16
			CLYBL-AS1
			NRN1
			PGAM5P1
			RPL22P1
			NANOS1
			LSM1P2
			DNAJB1P1
			HAS2-AS1
			EYS
			GAPDHP68
			RPL10P13
			USP31
			RF00438
			NCOR2
			RPL36P16
			RASSF6
			NIPA2P4
			ZNF385B
			RPL12P46
			CYFIP2
			GLIS3
			TATDN2P3
			PCDHB14
			WDR7
			CD24
			LINC00581
			GALNT8
			CASC6
			OTUD7A
			SGO2
			CUBN
			LRRN2
			CFH
			WRB
			HK2
			SHC4
			HMGB3P23
			CLCN3
			MED16
			RGPD1
			CIITA
			ALOX12
			RNF138P2
			COX7B2
			LELP1
			PRKCB
			NPS
			OXSR1
			LINC01515
			C17orf112
			SDHB
			ETS1-AS1
			FUT9
			MRPL35P2
			CEP112
			ALDH2
			PRKCH
			EMC2
			OSMR-AS1
			FAM120A
			ADA
			TMEM106B
			ARID1B
			ENPP7P9
			UTRN
			ARG1
			MTND2P8
			EFHC1
			SLC23A2
			SNRPEP8
			GLO1
			RAB7A
			ZFYVE1
			LINC02388
			SMCO4
			LINC01283
			PARN
			APLF
			LINC02667
			HTR3A
			LINC01090
			ATG4B
			YWHAZP8
			TCP10
			UBASH3B
			MCTP2
			FAM83B
			PTCSC2
			AF064866.1
			AKTIP
			RAB5C
			PABPC1P10
			SFTA1P
			SNX2
			LINC01745
			SVIL
			LINC00536
			RGL1
			DKK4
			CNTNAP2
			ZFAT
			SPTA1
			CTBP2
			FOXP1
			MRPS31
			LINC02433
			RF01966
			CSGALNACT1
			PLAAT5
			DCC
			LINC02351
			RPL7L1P9
			RBMY2OP
			CCDC144NL-AS1
			FRA10AC1
			SAMD5
			UQCRFS1
			MMS22L
			TAOK1
			RPSAP29
			UBE2FP2
			MPHOSPH6
			NLGN1
			RPL23AP60
			SASH1
			PTBP1P
			PPP1CB
			RPL14
			VEGFA
			QRSL1P1
			HRG
			SPRY1
			HMGB3P3
			RF00090
			GTF3AP1
			ETS1
			DDX6P2
			SI
			FLNB
			COL11A1
			CFAP74
			LINC02329
			DUSP21
			MTHFD2P1
			RSPO3
			SDCBP2
			UBE2V1P13
			FER
			OAS2
			SH3TC2
			LEF1-AS1
			ERICH1
			SLC16A10
			SYNJ1
			RPRD1A
			GPRIN3
			NENFP3
			DNAH11
			MSTO1
			RPL12P7
			MYMX
			CFAP300
			DIAPH3-AS2
			RGPD2
			TET2-AS1
			LINC02087
			IMPG1
			GALNT9
			ZHX1
			ACSM3
			PRELID3BP8
			VEZT
			RF01225
			GRM7
			OFCC1
			CDK6
			ANKAR
			PBX1
			RUVBL1
			EXTL2P1
			LINC01222
			MORC3
			COMMD8
			SNRK
			NAPSA
			RAB4A
			LINC01088
			LAG3
			GRAP2
			DDX10P2
			LINC02005
			SYNE1
			LCORL
			PRR5L
			LDHAP5
			LINC01522
			LINC01592
			SAMD12-AS1
			ZFPM2
			DNM1P46
			PERP
			CELF2
			THEM7P
			TTC30A
			MCTP1
			CASC16
			FTLP18
			PCNX2
			RF00157
			SIPA1L1
			RPS27P16
			BMPR2
			APOBEC4
			ADAP2
			LINC01829
			THRAP3P1
			UBE3C
			SAMD12
			RPL37P25
			DIRC3
			LINC02085
			CFAP46
			SCN9A
			GOLGA4
			LANCL2
			HMGB3P16
			VGLL4
			MFSD14B
			RNF150
			TOM1L2
			TMEM132D
			LINC01803
			SGO1-AS1
			OR52J2P
			ADGRF1
			GMDS-DT
			TMEM45B
			SRPK2
			ATE1
			LHFPL3-AS1
			JHY
			MED13L
			POU3F4
			HCN4
			MYL6P3
			R3HDM4
			MTND4P3
			LINC01364
			CCDC15
			NTM
			PIEZO1P2
			TFDP2
			CDH20
			DSEL
			ENPP2
			THAP12P9
			USP9X
			KCTD9P5
			CRADD
			DHFRP3
			ASS1P10
			ITM2A
			FANCL
			CLDN23
			COL1A2
			KLHL15
			DNAJB5P1
			YY1P2
			TRPV6
			TPD52
			TCF12
			DSTYK
			MAGT1
			RFPL1S
			UBTFL3
			PPIAP83
			RPL4P1
			PLK4
			ERBB4
			MAN1A2P1
			HSPA4L
			TOX3
			DMTF1
			NPY
			OSBPL3
			Z82196.1
			PDCD1LG2
			SLC49A4
			LINC01307
			ZCCHC7
			PIK3CDP1
			RASGRF1
			RPL38
			MANBA
			PPIAP63
			TTC28
			CASC9
			LPIN2
			KCNMB2-AS1
			TNFSF9
			PDLIM1P3
			GBE1
			LINC01936
			DLGAP1-AS2
			DDX5
			CCR3
			GADL1
			DAP
			ANGPTL2
			DNASE1L3
			LGR6
			RPL30P13
			CCDC92B
			LINC01814
			MYH9
			TNFSF11
			ARHGEF33
			LINC02668
			ERVW-1
			CFAP299
			LINC00333
			LINC01108
			SAR1AP3
			RPL7AP66
			TPRG1
			MIER1
			LINC01686
			GAPDHP56
			THNSL2
			PSG11
			DPYSL2
			DENND1A
			COL24A1
			RSF1
			GNG2
			GAPDHP28
			RF00422
			SLC6A6
			LINC02143
			PPRC1
			MAN1C1
			PQBP1
			LINC01215
			ERICH6
			LINC02542
			NDST1
			C1orf100
			IZUMO2
			NR2F1-AS1
			SIAE
			RPL21P99
			HEATR5A
			KCNAB1
			STX18-AS1
			SGK1
			CTTNBP2
			ST13P15
			FAF1
			OR7E122P
			MCUR1
			CACNG2
			HHAT
			PSMC1P12
			HNRNPA3P4
			OBSCN
			GLIPR2
			PAGE2
			SETMAR
			DTHD1
			HMGB1P41
			ASH2L
			RPL17P35
			CHD8
			PAPSS2
			SNRPCP19
			TIMM9P1
			AQP10
			LINC01241
			COA1
			CD44
			AFF1
			SLC39A8
			RSL24D1P9
			PLBD1
			NME6
			SCAF11
			HNRNPA1P17
			PPP3CA
			TMEM56-RWDD3
			LAMC1
			NETO1
			SMUG1P1
			RRAGB
			NSUN7
			EGFLAM-AS2
			RF00201
			CMIP
			IGF2
			ST8SIA5
			SNX15
			ICE1
			SEM1
			SLC26A4
			MFSD11
			SLC1A2
			STRBP
			LINC00604
			LINC01625
			ERRFI1
			SPAG17
			LYAR
			CYB5AP5
			LINC02195
			LINC02009
			NAMPT
			ILF2P1
			PRKG1-AS1
			RPS20P10
			KRT8P42
			POLR1D
			OSBPL6
			FMO10P
			MAN1A2
			LINC01419
			HDAC9
			KIF4CP
			HERPUD1
			MFHAS1
			RNY1P14
			COX5B
			CDC16
			HDDC2
			C1orf87
			CDC5L
			TNFRSF21
			SLC35D1
			RPL13AP3
			ANAPC10
			MEGF11
			CDK17
			TRIB3
			TNFSF10
			GPR141BP
			LINC02177
			FCHO1
			PRR23C
			LINC01179
			DPF3
			PBOV1
			LINC01579
			BOK-AS1
			PTPN12
			PPIF
			KRT19P6
			FAM104B
			LYARP1
			LINC01963
			RO60
			RPL17P12
			CDC34
			KRT24
			FBXO47
			GPT
			HYDIN
			TPT1P11
			TMEM260
			NCK1-DT
			GDF6
			PLPPR4
			TOX
			ERC2
			SMAGP
			DENND1C
			CCDC9
			LINC02144
			ELMO2P1
			FOLR3
			ESD
			ENO1P1
			AGAP1
			MTND5P40
			DDX10
			RF01293
			RPL37P2
			FAM157C
			Z99129.1
			CRNDE
			GRHL2
			ATIC
			PRKX
			ANAPC1
			DYRK1A
			NPHP3-ACAD11
			VXN
			SIGLECL1
			SCARA5
			CCDC105
			RHEB
			C20orf78
			HOOK1
			Z82190.1
			MYOF
			RNF220
			ARL2BPP5
			RPS26P30
			LHFPL3
			MME
			TUFMP1
			ITGA1
			MCCC2
			RF00432
			CORIN
			TFAMP1
			NIPBL
			FUCA1P1
			MTPAP
			NPM1P42
			LINC01815
			RPL12P33
			ITGB5
			LINC01696
			GIHCG
			BUB3P1
			CCDC185
			LINC01517
			PSAPL1
			ELOCP18
			KDM2A
			RNF148
			GGA2
			NDUFS6P1
			SNX4
			DPY19L2P4
			TRIB2
			DIO2
			SATB1-AS1
			RPS29P6
			SVEP1
			RAI14
			ZNF841
			AKT3
			GPR63
			TCP11L1
			THSD7A
			DMRT3
			GPATCH2L
			BSNDP2
			VPS54
			LINC02153
			LINC01394
			OTOF
			RNY4P16
			SH3BP4
			INTS4
			OR6C4
			EIF3IP1
			SLC1A3
			EDA2R
			NSL1
			DACH2
			ANKFN1
			IPO5
			MCUB
			SLC38A9
			PITX1
			LRRC8B
			SMPD3
			SMIM38
			TUSC3
			LINC00840
			TECRP2
			MYLK3
			MGAT5
			ASAP1
			RPL5P1
			RPL5P14
			SATB2
			COL27A1
			PIGL
			CDH23
			DUS2
			CPNE7
			LINC01365
			BSG
			EML1
			KANSL1
			HMGB1P32
			THAP9-AS1
			ASAH1
			C7orf66
			RF00272
			FERD3L
			GRAMD1B
			SLC16A1-AS1
			ZMIZ1
			BOLA3-AS1
			DTX2P1-UPK3BP1-PMS2P11
			PCA3
			WASF1
			POU5F1P2
			REV3L
			Z93403.1
			OSBPL10-AS1
			NARSP2
			ATRNL1
			LINC01516
			LINC01695
			GHR
			MAP3K20
			LINC00709
			SRCIN1
			KIDINS220
			IMMP1LP2
			LDLRAD4
			LINC02300
			PLPP1
			CHST1
			PTENP1
			C12orf29
			ITIH6
			EPS15
			SNRPEP5
			STIM2
			TNFSF15
			SLC9A2
			SRSF10
			ANGPT1
			MTCO2P1
			AKAP8L
			PKNOX2
			RERG
			OR13A1
			KCNK5
			SLC2A1
			STK39
			FOXC1
			PEBP4
			EPB41L4A
			DIPK2A
			Z98885.3
			NOS1AP
			CCDC196
			FAM49A
			IL9
			AFF3
			MTCO1P49
			RPL21P16
			MIATNB
			RPS4XP5
			RPS24P14
			RAB27B
			TMEM64
			LINC00861
			LINC02529
			RF02090
			DLEU1
			ARL2BPP4
			NUP35P1
			FMNL2
			FOXB1
			SLC22A8
			LINC02430
			CLSTN1
			TCIM
			FN1
			RPL12P32
			FRYL
			TMEM65
			AGBL1-AS1
			OTOA
			ZCCHC24
			FASLG
			ADGRG6
			MROH5
			LINC01853
			ZC3H18
			TRIM55
			ABTB2
			FUCA1
			THORLNC
			PCSK1
			GKN1
			TRDD1
			ZNF354C
			SHROOM3
			LINC00207
			TEFM
			BARHL2
			DIPK1A
			CCDC88A
			CCDC91
			AP2S1
			AXIN2
			TENM2
			COX7A2L
			THEM5
			TPSD1
			CDC42EP3
			AF238378.1
			CR1L
			GCDH
			EFCAB14
			CEP78
			GVINP1
			NALCN
			TARDBP
			SMIM36
			MYOZ1
			ADAM20
			S1PR1
			PHF21A
			SIRT4
			TMEM179B
			C14orf39
			ASB12
			UBQLN1
			EPS8
			ZDHHC11
			RF00283
			INPP5B
			SLC6A17
			KIAA1324L
			LINC00518
			ABL1
			CD109
			MID1IP1-AS1
			PTPN2
			HIST1H1PS1
			DKFZP434K028
			SYK
			COPS8P2
			ADAMTS12
			SIPA1L3
			MUC20P1
			PVALB
			CSPP1
			LINC01907
			OPCML
			LINC02213
			CHST14
			ARHGAP20
			PCED1B-AS1
			FAM8A6P
			EEF1B2P2
			HMGN1P34
			NEMP1
			LINC02124
			FSTL4
			FLVCR1-DT
			OR7A19P
			SNX2P2
			RPL21P24
			PIGR
			NPY2R
			INSYN2A
			ACTL8
			C5orf64
			KSR1
			GKN2
			VPS13D
			CNOT4P1
			LAX1
			ADGRL4
			EFL1
			METTL2B
			LINC01411
			CROCCP3
			TBC1D7
			SMAD1-AS2
			MAD1L1
			OR13F1
			RXFP2
			EIF3KP2
			THSD4-AS1
			RPS2P48
			C4BPAP1
			PTP4A1P3
			PNLDC1
			RHOU
			LAMA4
			NFE2L2
			RPS20P25
			GPR26
			TAF3
			SMLR1
			SLC25A6P2
			ZNF852
			NLRP9P1
			PLEKHG3
			POT1
			LINC02206
			KIAA0825
			PTPRG
			DPYD-AS1
			DMRT1
			LINC01331
			PCGEM1
			C8orf33
			NUTM2A-AS1
			ALCAM
			GOLGA6L22
			EPHA4
			WARS2P1
			CSMD2
			LINC02469
			FAM20B
			PSMD7
			LINC01343
			C2CD3
			PPP2R2D
			STXBP5-AS1
			MDGA1
			PCNAP1
			MILR1
			RPL13AP20
			TAX1BP1
			SCYGR2
			GUCY1B2
			LINC02074
			PI16
			IP6K3
			FILNC1
			RPS15AP38
			CTR9
			PPP1R7
			TOMM22
			RF00156
			RALGAPA2
			ZBTB16
			ZMYM2
			TDH
			NEK7
			RF00093
			RBMS3-AS3
			KAZN
			LINC01943
			PCDHA1
			HMGB1P33
			KDM8
			NHLRC1
			ERBB2
			IGFL4
			TREM1
			NDUFA5P6
			SLC25A13
			SLC4A4
			YWHAQP6
			LINC01034
			EXOC7P1
			CSMD1
			MTCO2P25
			IL6ST
			CCKAR
			PGBD5
			KDM5B
			DAW1
			CFAP43
			PDCL2
			ZC3HAV1L
			WHRN
			MGST3
			RPL22L1
			BECN1P2
			NCOA7
			FUNDC2P4
			RAB5A
			NMNAT1P1
			SLC25A24P2
			ESR2
			TMSB15B
			SAMD11
			LINC02403
			PKMP5
			RPEP4
			WDR25
			EIF5B
			LINC02448
			LINC01644
			GFRA1
			ST18
			GH1
			TUNAR
			CRACR2A
			PCAT14
			GALK2
			HTR2A-AS1
			ARHGAP28
			ATG4C
			SGMS1
			CLNK
			BARX1
			CDKN3
			ATF7
			CMA1
			CUL5
			NPM1P18
			TLN2
			LPP
			IKZF5
			FTLP16
			NDFIP1
			TMEM255B
			CARD14
			SUGCT
			CPLX2
			ASIC2
			KLF7-IT1
			BLM
			LUZP2
			ELOVL6
			STK17A
			RPL17P33
			FGF17
			MED27
			ANKRD34C
			C4orf19
			SPATA5
			FAM168A
			RPL3P13
			LINC01029
			NTS
			ST8SIA2
			TBC1D1
			CEP192
			RASSF8-AS1
			HMGB3P24
			EXOC6
			TMEM120A
			TRPM8
			PAK2
			OR4F28P
			TLR10
			PTPRG-AS1
			SLC35D3
			COX5BP2
			MTCO1P3
			EXD1
			GGNBP1
			IFT88
			OSBP2
			SON
			LINC01850
			COX4I1P2
			GYPA
			SOX15
			PTPN23
			SND1
			PCMTD1
			FAM107B
			EIF3LP3
			SLC39A9
			RPL17P10
			REN
			COMP
			TMEM241
			LINC02105
			UCK2
			TLE2
			BUD13
			ABCF2
			RLN1
			GIGYF2
			RPL35AP24
			LRRC10
			XCR1
			HIVEP2
			LINC02230
			RPL32P29
			RNF126P1
			SLC26A11
			FAM178B
			RPL5P8
			SMAD6
			SVIL2P
			KCNK9
			ALMS1
			C2orf40
			EEF1A1P12
			CCDC58P3
			OMA1
			LINC02669
			FOCAD
			SSX2IP
			RF00401
			LUARIS
			GAPDHP59
			INTS7
			ARAP2
			LBR
			CWF19L2
			RPL32P35
			RF00402
			SLC22A17
			NAA30
			ZNF767P
			LINC01956
			RRS1-AS1
			POC5
			DDIT4
			ZFPM2-AS1
			LINC01332
			CDKL3
			BABAM2
			AMFR
			RPS27AP11
			GALP
			UBE2C
			TANC2
			EPAS1
			SIGLEC10
			GUCY2F
			ANKDD1A
			MLH3
			RNASEH2B-AS1
			NCK2
			BRD7P2
			IGF1
			CYP51A1P1
			LTF
			CMTM2
			SETP8
			HAGH
			TSEN15P3
			TNS1
			IGSF3
			PI15
			CCDC59
			LINC02209
			ZNF451
			XKR4
			NCAPD3
			PI4KAP1
			LINC02644
			CYLD
			PYROXD2
			FAM78B
			UQCRHP4
			AHI1
			DOCK1
			RNF145
			VN2R17P
			RPL31P52
			AK4P2
			IL26
			MTCO1P40
			LINC00566
			LRBA
			FRRS1L
			CSTF1
			PA2G4P2
			KLF8
			GATA4
			EYA2
			EMSY
			SORBS1
			PDLIM1
			GSX1
			HNRNPA1P25
			SERBP1
			RGMA
			NUDCD1
			TRIM29
			BNIP2
			NFASC
			TRAK1
			SSR1P1
			MCIDAS
			DAG1
			MYO9B
			CABIN1
			CALCOCO1
			ZNF425
			RPSA
			ZCWPW2
			FNBP1L
			SIGLEC27P
			KRT8P18
			ID2-AS1
			RASGEF1B
			XYLT1
			LINC02435
			AP3M2
			SLC41A1
			Z98755.1
			LINC02059
			LINC01173
			SERPINE2
			ARG2
			NMNAT1P4
			ERCC1
			CTNNBIP1
			PLPP3
			THOC3
			LACTBL1
			ST3GAL6
			LINC01562
			PTPRD
			LINC02477
			LYPLA1P2
			RPL31P1
			TCF7L1
			CD84
			LINC02440
			ADGRG1
			LINC02118
			MAP4K4
			MBP
			XXYLT1
			SMCHD1
			HK3
			LYRM4
			BTF3P7
			CCT5P1
			GZF1
			LINC02483
			EGFLAM
			GACAT3
			LINC02429
			NTN1
			RF02271
			LINC01744
			LINC02268
			UBE3B
			RALGPS2
			PDE7B
			NOL7
			NPTXR
			SCARNA16
			BIN2P2
			RTKN2
			ABITRAMP1
			C8orf86
			CPT1C
			ITPA
			FBXO3-DT
			FHL2
			NEURL1
			URB2
			SUMF1
			FZD8
			FAM163B
			CNIH4
			CCND2P1
			HNF4G
			SMPX
			KF459542.1
			ARIH1
			SLC25A21
			PTPDC1
			JAKMIP1
			GEMIN8P2
			STK11
			EXO1
			RPAP3
			DCLK1
			OR7E94P
			IGSF22
			CKS2
			RTN1
			ZNF529
			CLEC14A
			DGKI
			BRDT
			ELOBP4
			PRDM1
			MOBP
			PCTP
			RPL5P20
			GAB2
			TPT1P9
			MTHFD1
			DNAH2
			PPP1R2P5
			BCAR3
			SLIT3
			ABHD17AP5
			LINC01476
			PENK
			LINC00271
			DTNB
			CAPZA2
			TBC1D22A
			NIFKP2
			RF01182
			KIF14
			FAM138B
			DDC-AS1
			RFKP1
			ADAD1P2
			C15orf54
			POLR1A
			MAGED2
			IP6K1
			ZNF266
			ZNF124
			LINC00621
			TOX2
			GNG5P5
			LINC01203
			GOLGA8S
			COL13A1
			PARP4
			TGFBR2
			LINC01426
			SCUBE2
			WNT2
			RPS4XP3
			ZCCHC12
			LINC00599
			MYLKP1
			LHPP
			TNPO1
			TAF5L
			CETP
			ARPP19
			TOM1L1
			MICAL2
			MKLN1
			CLIP1
			MRPL10
			Z98043.1
			NDUFA4
			ANKRD55
			LINC02039
			LINC01358
			YWHAQ
			TRPC3
			TMEM131
			RORA
			LINC01767
			LINC01259
			NEK4P1
			TNK1
			LINC00652
			MIF-AS1
			PPIAP66
			ARFGEF1
			IL2
			NRADDP
			LINC01991
			PLXNC1
			CYP19A1
			LPIN1
			MS4A8
			TPPP
			CTCF
			RASGRP1
			LINC01974
			GADD45B
			RPS4XP6
			CCRL2
			HTR7
			ZMIZ1-AS1
			AJ009632.2
			GALNT13
			LRIG2
			KIAA1217
			CLDN2
			FGF13
			CD96
			LINC02276
			BAIAP2
			ASB11
			LINC01808
			ACTG1P19
			CDC6
			TMTC1
			CATSPERB
			CFAP20
			PARD3B
			GREB1L
			LINC02599
			SLC25A39P2
			HSPE1
			PRTFDC1
			SLC6A21P
			FECHP1
			RSPRY1
			GSTM3P2
			PAWR
			MTA3
			S100A10
			RYBP
			FOXR1
			AUTS2
			MARCO
			SETDB1
			FSTL1
			AF131216.1
			TTC39C
			MRPL1
			CAPN13
			GLULP3
			FNIP1
			DUXB
			THADA
			PSMG3
			RUNX1
			PCNX1
			ADGRV1
			ACACB
			AIG1
			KCNA2
			GAK
			LRRC8D
			LPCAT2BP
			FAM86B3P
			CAPN1
			ARSJ
			SLTM
			MMAA
			FLAD1
			SMTN
			BMP10
			IDE
			IFNG-AS1
			STAT3
			SSPN
			MRPS18BP2
			CLCN1
			HIST1H1C
			CELSR1
			LINC01939
			FBXL3
			RWDD3
			LINC02175
			STX1B
			COQ2
			HIVEP3
			PAGE2B
			MRFAP1L1
			SOCS7
			TMCC3
			RPS6P15
			RF00443
			PHF2
			LINC01818
			HSPA5
			IL21R
			LINC00366
			GPAM
			CYCS
			TLK1
			NIFKP9
			FLNC
			RF00264
			KLHL13
			LINC01996
			RBMXP1
			SLAMF6
			COPZ1
			CDK14
			UNC5B
			NECAB2
			PAICSP7
			CSTF3-DT
			CHORDC2P
			CAMK2G
			NTAN1P1
			ZFHX3
			MEI1
			PYGO1
			GAPDHP61
			LINC01470
			DEFB129
			RAP1A
			GEMIN8
			RSL24D1P1
			OR8B10P
			SLC2A13P1
			DDIAS
			RMST
			KCNS3
			HERC2P3
			IGF2R
			C2orf70
			GAPDHP24
			LINC02046
			CNIH3
			VWA8
			GNA12
			CFL1P7
			PPY2P
			RPL7P3
			STMN1
			SLC26A10
			LNX1
			GLYATL1P4
			PPP2R2A
			ADRB2
			GSTA3
			FAM189A2
			LINC01048
			LDB2
			RNFT1P2
			BBS1
			ALOX12P2
			PRDX6
			TCF7L1-IT1
			PTPRB
			DCHS2
			PDZD11
			PHACTR2
			SLC25A37
			HNRNPA1P42
			PSG8
			RPL10P3
			LDHB
			CMAHP
			PTMAP6
			SMILR
			C14orf180
			RPS3AP46
			SLC4A1
			STX8
			TRIB1
			SLC22A23
			CETN4P
			HTR1E
			RF01699
			STK38L
			GEMIN8P4
			AGTR1
			ENAH
			GAPDHP20
			TAF1
			EZH2
			DPPA3P2
