input.Down	input.Down2	input.Down2NoFDR	input.DownNoFDR
PPAT	ZFAND3	NECTIN3-AS1	NLN
PIP4K2A	RF00003	FAM98B	TRMT11
EPS15	SF3A3	DPY19L4P2	SAMD4A
ADAMTSL3	RNF138P2	ATXN7L3B	FARS2
MRPS33P4	RPS29P6	RPS17P11	SLC16A7
IMPDH1	EDNRB-AS1	RF00026	GRIA3
ANKFN1	NDUFAF6	LINC01923	LINC01701
SLC35D2	SRP54	RGS4	ADAMTS3
LINC02183	LINC01304	HSPH1	LIMCH1
PPP1R37	ENOX2	RAPGEF5	PTPRT
ZC4H2	LINC00237	SCHLAP1	NEDD1
ADAMTS18	DCAF8L1	PCDH15	CYCSP17
SLC16A10	KRT8P18	SLC4A4	RF00012
SLAMF1	CNN2P6	NBEAP1	ITM2B
RPL21P103	IRS1	LYPLA1	COL6A6
RPL12P23	MTND6P25	PBOV1	LIN28B
C9orf170	SMAP2	LRP1B	MRGPRX1
FP325330.3	SOBP	MAP3K9	SBF2
LINC01287	TTC4P1	LINC02337	SLC9A7P1
CCDC26	GRIN3A	EIF3FP3	HELLS
COX6A1P3	HSPD1P15	SMOC2	NME2
TLL1	GRAMD1B	NYAP2	RF00425
ADCK5	IMPDH1P8	CEND1P1	ZNF365
MOCS2	HTR1B	PARD3B	ESRG
RAD51B	OSBPL1A	TNS4	TMTC3
GBA3	PPP1R3A	CEACAM1	TBILA
MFSD4BP1	LINC02242	ZMIZ1	OLFML1
INSR	CUL4A	DYNC1I2	MYO1D
LINC02563	SNHG26	ADGRB3	ZIM3
SEC22B	ST3GAL5	AKNAD1	PTH2R
GALNT17	FLRT3	UST	CTNND2
MACROD2-IT1	LDHAL6EP	NPBWR1	PRPF38AP1
DNAJC1	BCL11A	LINC00261	TUBBP11
LINC01815	SETD5	UBE3C	ENOX1
CUBNP2	LINC01013	MTCYBP44	TCF4
PRDX6	MC3R	GHRH	ZNF510
TSPYL5	ETS1	LCLAT1	PSMC2
COL27A1	KANSL1	GLCCI1	KRT18P64
LINC01955	PAIP1	BLOC1S2	RNF144B
NECTIN3-AS1	IFI16	LINC02582	DNAJA1P2
BARX1	ANK2	NEU3	CYP4Z2P
COL4A2	CTH	CDC42BPA	ABCA13
GTDC1	COL11A1	GNGT2	RIC1
GAPDHP46	OR7H2P	SHISA6	STXBP6
TARDBPP1	PI15	TTLL5	CABYRP1
STIM1	MT3	EPG5	FADS2P1
MSLN	ZDHHC19	PDGFD	HECW1-IT1
OAF	LINC01850	INIP	TLE3
MAP3K5	MME	CD48	ADGRB3
ZNF710	ENPP4	TENM2	LINC02227
VEGFA	CCDC26	EPN2	NPIPB4
TERB2	LINC01884	ECHDC1	PES1
RNF2P1	NFIL3	SEPT5	MRPL57P6
LINC00707	TSPYL5	BPIFB5P	TERF1
PANK2	RPN1	ITM2A	RAB11FIP4
POU2AF1	CAT	LINC00487	PRMT8
LINC01592	PRPS2	LINC00525	CDKAL1
LINC01721	AIG1	NCOR2	ABI3BP
CERS5	NCOR2	LINC00861	KCNT2
PCAT1	ALS2	LINC02106	NBDY
GGT5	PROX1-AS1	BAZ1A	RF00017
TGFBRAP1	RNF165	GASK1A	ZNF8
LINC01973	NECTIN3-AS1	KLHL38	THSD7B
AP1G1	HDGFL1	CACNA2D3	PLOD3
GNG2	SCARNA20	FAM76B	DDX46
RXFP2	GBP6	RPL32P35	CARM1P1
RPL36AP6	SREK1	SLC36A4	LNCARSR
H2AFV	DNAH5	PDHX	DDX11L9
PFKFB4	HIPK2	PRKX	NPM1P23
CDH23	CCNY	PLPP4	SPOCK1
TRIB3	DEPTOR	SNX18P2	MTND5P21
CD3EAP	ACTL8	RF00017	PLCB1
RAG2	MTUS2-AS2	ANXA2	DCTN6
IVD	PRDM1	LINC01796	STK25P1
DSC3	LHX8	LINC02351	ACY3
RNY1P7	TRDC	KSR2	RPS14P7
EIF5B	MON1B	MTCYBP6	MCCC1
GNA15	PRAMEF1	NDUFB9P2	CENPE
IMPG1	CHAF1B	CCBE1	HNRNPA1P57
SLC51A	KCTD14	SMG6	AKAP2
SERPINE2	SAMD9L	CFAP61	PDCL3P2
RF00017	KIF27	RF00402	KIF1A
RREB1	FAM85B	LRPAP1	KIAA1211
ABHD17AP5	EXO5	FABP5P5	CD38
HDAC9	KY	LINC01709	HNRNPA1P51
ZNF131	ICE1	NENFP2	KCTD9P6
MMAA	LINC02055	RABIF	KALRN
STK3	LARP1B	C1orf112	PPIAP64
FOXJ3	UTRN	IGBP1P5	RERE
PCDHGC3	SLC39A8	NT5DC3	PTCSC3
AKAP2	PCAT1	RPS3AP42	LINC01938
TMEM94	GKAP1	LRMDA	RHOA-IT1
ADAM10	HPSE2	LINC00606	DLGAP1
CETP	C1orf115	LINC01137	PELI2
PPP3CA	CNOT6	LINC01822	RPL13AP25
LINC01333	RPL30P10	THAP12P9	RF00056
ARHGAP20	MEI4	TSHZ2	CASP9
KRT8P18	OPCML	CYP2U1	LINC02404
FIG4	LINC02422	NTRK3	CYP4A22
ZNF653	WDR41	ANO10	ALX4
