input.Down	input.Down2	input.Down2NoFDR	input.DownNoFDR
NDUFAF6		PAX9	NDUFAF6
LINC01304		SLC25A21	LINC01304
ENOX2		KCNH7	ENOX2
KIZ		EGFEM1P	KIZ
LINC00237		LINC02082	LINC00237
RPL24P2		RPL21P43	RPL24P2
KRT8P18		FAM3B	KRT8P18
MTND4LP18		R3HDM1	MTND4LP18
MTND6P25		ZRANB3	MTND6P25
COL9A2		RBM43P1	COL9A2
SMAP2		AMACR	SMAP2
PDSS2		RXFP3	PDSS2
SOBP		SLC45A2	SOBP
GRIN3A		MTNR1B	GRIN3A
PPP3R2		SNRPGP16	PPP3R2
HSPD1P15		COX10-AS1	HSPD1P15
GRAMD1B		TEAD1	GRAMD1B
SF3A3P2		AF279873.3	SF3A3P2
OSBPL1A		BUD31P1	OSBPL1A
RPL12P10		DUSP26	RPL12P10
SNHG26		CHML	SNHG26
TOMM7		KMO	TOMM7
AHI1		OPN3	AHI1
LINC00271		WDR64	LINC00271
FLRT3		DNAJC3	FLRT3
SETD5		DNAJC3-DT	SETD5
LINC01013		MTCYBP3	LINC01013
MC3R		MTND5P2	MC3R
ETS1		MTND6P18	ETS1
KANSL1		LINC01098	KANSL1
IFI16		RF00275	IFI16
PYHIN1		RPRM	PYHIN1
ANK2		ARHGAP20	ANK2
MT1E		CD1E	MT1E
MT1L		OR10K2	MT1L
MT2A		OR10T2	MT2A
MT3		ARHGAP26	MT3
MT4		CCDC115	MT4
LINC00885		IMP4	LINC00885
PCYT1A		MED15P5	PCYT1A
SLC51A		MTATP6P7	SLC51A
ZDHHC19		MTCO1P7	ZDHHC19
LINC01850		MTCO2P7	LINC01850
RPL23AP29		MTCO3P7	RPL23AP29
CLIC5		MTCYBP8	CLIC5
ENPP4		MTND1P29	ENPP4
ENPP5		MTND2P22	ENPP5
AUH		MTND4P27	AUH
NFIL3		MTND5P29	NFIL3
TSPYL5		MTND6P8	TSPYL5
LINC01565		SLC2A13P1	LINC01565
RPN1		SALL4	RPN1
MRPL35P4		KANSL1L	MRPL35P4
PRPS2		ASPH	PRPS2
PSMA6P2		KRT8P3	PSMA6P2
AIG1		RNASET2	AIG1
NCOR2		RPS6KA2	NCOR2
ALS2		RPS6KA2-AS1	ALS2
MPP4		ARHGAP15	MPP4
LINC00538		FRMD6	LINC00538
PROX1-AS1		FRMD6-AS2	PROX1-AS1
SCARNA20		DLG3	SCARNA20
USP32		DLG3-AS1	USP32
CAPNS1P1		GDPD2	CAPNS1P1
GBP1P1		RNY4P23	GBP1P1
GBP6		ARID1B	GBP6
LINC02065		CHRDL1	LINC02065
SREK1		P3H2	SREK1
HIPK2		ZEB2	HIPK2
CCNY		QRSL1P2	CCNY
CREM		USP38	CREM
LINC02634		CHFR	LINC02634
ACTL8		GOLGA3	ACTL8
MTUS2-AS2		RPS11P5	MTUS2-AS2
TRDC		CKS1BP5	TRDC
TRDD1		ENPP6	TRDD1
TRDD2		SCARA5	TRDD2
TRDD3		ACAP2	TRDD3
MON1B		LYSMD2	MON1B
HNRNPCL1		TMOD2	HNRNPCL1
LINC01784		EGLN1	LINC01784
PRAMEF1		EXOC8	PRAMEF1
PRAMEF11		SPRTN	PRAMEF11
PRAMEF12		RAB9BP1	PRAMEF12
PRAMEF30P		FABP3P2	PRAMEF30P
CHAF1B		LINC02341	CHAF1B
CLDN14		CALM1P2	CLDN14
MORC3		ELDR	MORC3
HEPACAM2		F11R	HEPACAM2
SAMD9L		ITLN2	SAMD9L
GKAP1		TSTD1	GKAP1
KIF27		USF1	KIF27
ALG1L13P		FER	ALG1L13P
FAM85B		ABCA2	FAM85B
FAM86B3P		C8G	FAM86B3P
EXO5		C9orf139	EXO5
ZFP69		CLIC3	ZFP69
ZNF684		FBXW5	ZNF684
FOSL1P1		FUT7	FOSL1P1
LARP1B		LCN12	LARP1B
FOXP2		LCNL1	FOXP2
PPP1R3A		LINC02692	PPP1R3A
POU5F1B		PAXX	POU5F1B
UBQLN1		PTGDS	UBQLN1
C1orf115		KIRREL1	C1orf115
HDAC1P2		KIRREL1-IT1	HDAC1P2
CNOT6		NXPH1	CNOT6
OPCML		DIO2	OPCML
LINC02422		DIO2-AS1	LINC02422
AGL		PPIA	AGL
LINC01644		ZMIZ2	LINC01644
RIMBP2		LINC00583	RIMBP2
NRSN2		PES1P2	NRSN2
NRSN2-AS1		CSNK1G1	NRSN2-AS1
SOX12		PPIB	SOX12
TRIB3		RAP1B	TRIB3
RUNX2		RPL10P12	RUNX2
SUPT3H		RPSAP12	SUPT3H
LINC02240		FOXP1	LINC02240
ASLP1		FOXP1-IT1	ASLP1
DRICH1		EFNB1	DRICH1
GUSBP11		NPAP1P6	GUSBP11
ACVR1C		CD44	ACVR1C
AADAC		LINC02607	AADAC
AADACP1		LINC00554	AADACP1
PRKCQ		NDUFA12P1	PRKCQ
KCND2		ZIC2	KCND2
B3GNTL1P2		ZIC5	B3GNTL1P2
TNFRSF21		CORO2A	TNFRSF21
LRRC4C		TBC1D2	LRRC4C
MATN4		LINC00500	MATN4
RBPJL		RGS9	RBPJL
SDC4		HMGA2-AS1	SDC4
SYS1		MAN1A2P1	SYS1
SYS1-DBNDD2		RANBP3L	SYS1-DBNDD2
KATNBL1P4		EIF4BP3	KATNBL1P4
		ARHGEF28	OR10J1
		DTX1	OR10J4
		IMMP1LP2	CALCB
		OAS2	CALCP
		RPS15AP32	CYP2R1
		TMF1P1	TNRC18P1
		PRTG	UCP1
		COPB1	EEF1B2P1
		PSMA1	MYO5A
		EIF2AP4	LINC00882
		RUNX1T1	PNMA6E
		RHBDD1	PNMA6F
		AK5	ZNF275
		NREP	SPEF2
		NREP-AS1	KIAA1217
		ADAMTS20	SLC2A9
		CCDC191	LINC01497
		QTRT2	ZMAT4
		ATR	RSL24D1P9
		PLS1	ZNF366
		RPL6P9	EPM2A
		LINC01525	SATB2
		MAN1A2	MIATNB
		GALNT3	KBTBD12
		CLASP1	C10orf99
		CAST	CDHR1
		ADPGK	CERNA2
		ADPGK-AS1	GHITM
		SMKR1	ACTN2
		SNRPGP3	HEATR1
		STRIP2	GNG5P1
		SV2B	RAPGEF2
		LINC02281	CCNB3P1
		LINC02327	ZFPM2
		HNRNPA1P60	TAB2
		LINC00326	TAB2-AS1
		CAPG	KARSP1
		RPSAP22	VWA8
		SH2D6	C19orf18
		HSPA8P17	ZNF256
		LINC02464	ZNF417
		NAV3	ZNF418
		DLEU2L	ZNF814
		EFCAB7	ADRA1A
		ITGB3BP	CMTR1
		RF02105	RNF8
		RF02106	DCDC1
		RF02107	PPP1R1C
		RF02108	C1orf131
		RF02109	GNPAT
		RF02110	CDC27
		LINC01593	PEG10
		SLC5A7	SGCE
		ENPP7P1	DLGAP1-AS3
		MCCC1	DLGAP1-AS4
		MCCC1-AS1	GAPDHP66
		CADPS	GAPDHP24
		LINC02653	MAGI3
		HDAC8	TMEM232
		CHMP1B	DMBX1
		CHMP1B-AS1	KNCN
		CD53	MKNK1
		NRBF2P3	MKNK1-AS1
		OR11I1P	TMEM275
		CXorf56	MYL4
		NKRF	FTLP1
		SEPT6	MMP9
		UBE2A	PCIF1
		MYO10	SLC12A5
		ARFIP1	SLC12A5-AS1
		TIGD4	ZNF335
		PAPOLG	C11orf40
		ADAM10	OR51D1
		MINDY2	OR51E1
		RPS20P25	OR52I1
		FNBP1L	OR52I2
		LNX2	TRIM68
		UBE2H	AFAP1
		PGBD4P2	AFAP1-AS1
		RIMS4	SORCS2
		YWHAB	Z93403.1
		NAALADL2	RF00416
		TSG101	RF00560
		UEVLD	CFTR
		YWHABP2	CTTNBP2
		LINC02645	CTDSPL
		ACBD7	ITGA9-AS1
		GAPDHP45	IQCF2
		NMT2	IQCF3
		OLAH	IQCF5
		RPP38	IQCF5-AS1
		RPP38-DT	CD72
		NEK3	FAM166B
		NEK5	RPS29P17
		FAT3	RUSC2
		PGAM1P9	TESK1
		GORASP2	HNRNPA3P6
		CRPPA	SLC1A2
		DYNC1H1	LINC01848
		HSP90AA1	MAN2A1
		NF2	PGAM5P1
		NIPSNAP1	LRPPRC
		RPEP4	NRG1-IT3
		THOC5	EEF1GP4
		TRIO	PSMC1P7
		HEATR5A	EXOC4
		ITSN2	PABPC1P11
		PON1	SH3GL2
		GRIA3	TEAD4
		CYP2J2	TULP3
		HOOK1	LINC01255
		STK3	LINC01928
		GALP	BLOC1S6
		ZNF444	DPPA5P2
		ZNF787	HMGN2P46
		ZSCAN5B	SQOR
		ZSCAN5C	ARHGEF40
		TNFRSF11B	CKAP2P1
		MRPS36P2	NDRG2
		KRT8P9	OR5AU1
		LARP6	TMEM253
		LRRC49	ZNF219
		THAP10	TACR1
		THSD4	ANKRD44-IT1
		ASAP1	CNBD2
		HDAC9	PHF20
		PPIAP58	SCAND1
		URI1	ATXN7L3B
		KRT8P7	MRPL45P1
		OXNAD1	RF00026
		RFTN1	RGS4
		CACNA1A	B3GLCT
		LINC01513	HSPH1
		LINC02212	PCDH15
		LINC02213	DCK
		ROPN1L	SLC4A4
		ROPN1L-AS1	LYPLA1
		RPL30P7	TCEA1
		KALRN	TDGF1P5
		GALK2	SIM2
		LINC01375	MAP3K9
		SNRPD2P1	LINC02337
		MARCO	SMOC2
		PSD3	CEND1P1
		LINC00710	CEACAM1
		GATA3	CEACAMP2
		GATA3-AS1	DYNC1I2
		GIHCG	AKNAD1
		TSHZ2	SPATA42
		ZNF679	STXBP3
		ZNF736	UST
		FBXL21P	UBE3C
		IL9	MTCYBP44
		SLC25A48	GHRH
		FAR2	MANBAL
		MED28P6	RPN2
		PRND	LCLAT1
		PRNT	MRPL15
		RASSF2	GLCCI1
		LINC02537	NEU3
		CROCCP2	SPCS2
		LINC01783	XRRA1
		NBPF1	CDC42BPA
		RPL12P47	ABI3
		RPS2P28	GNGT2
		ZNF318	PHOSPHO1
		FAM71C	IFT43
		HNRNPA1P37	TGFB3
		ANXA1	TTLL5
		SLC10A7	EPG5
		ABRAXAS1	INIP
		GPAT3	CD48
		HELQ	SLAMF7
		MRPS18C	TENM2
		RPL30P5	ECHDC1
		SLC25A14P1	RNF146
		EIF4A2P3	SEPT5
		OR10Q1	BPIFB1
		OR10W1	BPIFB5P
		OR1S1	BPIFB9P
		OR1S2	CDK5RAP1
		OR5BL1P	LINC00487
		OR9Q1	LINC02106
		OR9Q2	BAZ1A
		IPPK	GASK1A
		CASTOR2	CACNA2D3
		LCE1A	CEP57
		LCE1B	FAM76B
		LCE1C	SLC36A4
		LCE6A	PDHX
		SMCP	PLPP4
		FREM3	ALOX15P2
		CEP85L	LINC01796
		PLN	FAM169B
		SSXP10	LINC02351
		Z99496.2	KSR2
		CARMIL1	MTCYBP6
		GNAI2P2	MTND4P6
		POLR3A	RF00012
		RPS24	NDUFB9P2
		CD200R1	CCBE1
		GTPBP8	MCUR1P1
		NPHP3	LINC00955
		NPHP3-ACAD11	LRPAP1
		NPHP3-AS1	LINC01709
		TCF12	DRAM1
		KATNAL1	NENFP2
		DNAJC19P9	HNRNPA1P59
		MIS18BP1	KLHL12
		SCG2	RABIF
		LINC02159	C1orf112
		LINC02473	SELP
		EEF1DP3	LRMDA
		FRY	CYP2U1
		PIP5K1B	HADH
		NMD3	SGMS2
			SOX5
			NTRK3
			CRPPA-AS1
			RPL36AP29
			ISCA2P1
			MIAT
			RF01874
			RF01875
			RF01876
			RF01877
			Z99774.1
			PGBD4P5
			INPP5F
			ANKRD49
			C11orf97
			MRE11
			ALDOAP2
			EDRF1
			EDRF1-DT
			TEX36
			SP3
			LINC01680
			TRIM60
			TRIM75P
			LINC01217
			CD109
			C6orf52
			GCNT2P1
			PAK1IP1
			DLGAP5
			BEND5
			TUBB4BP5
			RPS26P24
			C8orf37
			C8orf37-AS1
			MRPL35P2
			RF00004
			CALD1
			LINC02419
			ZNF510
			PSAP
			ANKRD50
			GJA10
			RPL22P14
			CLINT1
			CDK8
			THAP12P6
			BPI
			KIAA1755
			IKZF1
			AHCYL2
			EFHB
			HSPA8P18
			RAB5A
			ZMIZ1
			DHDDS
			HMGN2
			LIN28A
			LINC01592
			ENOX1
			RPL36P19
			CCDC196
			ERICH6
			ERICH6-AS1
			SIAH2
			SIAH2-AS1
			SNRPCP3
			BASP1
			LINC01886
			NAV2
			BTF3P6
			CRYZL1
			DONSON
			GART
			SON
			ERVMER61-1
			FDPSP1
			ANP32A
			PSMD14
			SLC4A10
			TBR1
			RAG2
			ITSN1
			MICAL3
			LINC02433
			LINC01248
			SOX11
			GMPR
			MRPL42P2
			PKHD1
			SLC25A38P1
			Z98043.1
			ARHGEF11
			DUSP18
			OSBP2
			ACOT11
			HNRNPA1P63
			LINC01488
			SKOR1
			CATSPERB
			TC2N
			LINC01119
			MCFD2
			TTC7A
			ZNF229
			ZNF285
			ZNF285B
			ENDOU
			RAPGEF3
			RPAP3
			SLC48A1
			GRAMD4P5
			POTEB2
			LINC00870
			LINC00877
			EMCN
			LINC01142
			ARHGAP21
			CACNA1C
			CACNA1C-AS2
			CACNA1C-AS3
			LINC01579
			CRADD
			AIFM1
			ELF4
			RAB33A
			CACNB2
			PAX9
			SLC25A21
			KCNH7
			EGFEM1P
			LINC02082
			RPL21P43
			FAM3B
			R3HDM1
			ZRANB3
			RBM43P1
			AMACR
			RXFP3
			SLC45A2
			MTNR1B
			SNRPGP16
			COX10-AS1
			TEAD1
			CHML
			KMO
			OPN3
			WDR64
			DNAJC3
			DNAJC3-DT
			MTCYBP3
			MTND5P2
			MTND6P18
			LINC01098
			RF00275
			RPRM
			CD1E
			OR10K2
			OR10T2
			ARHGAP26
			CCDC115
			IMP4
			MED15P5
			MTATP6P7
			MTCO1P7
			MTCO2P7
			MTCO3P7
			MTCYBP8
			MTND1P29
			MTND2P22
			MTND4P27
			MTND5P29
			MTND6P8
			SLC2A13P1
			SALL4
			KANSL1L
			ASPH
			KRT8P3
			RNASET2
			RPS6KA2
			RPS6KA2-AS1
			ARHGAP15
			FRMD6
			FRMD6-AS2
			DLG3
			DLG3-AS1
			GDPD2
			RNY4P23
			ARID1B
			CHRDL1
			P3H2
			ZEB2
			QRSL1P2
			USP38
			CKS1BP5
			ENPP6
			SCARA5
			ACAP2
			LYSMD2
			TMOD2
			EGLN1
			EXOC8
			SPRTN
			RAB9BP1
			FABP3P2
			LINC02341
			CALM1P2
			ELDR
			F11R
			ITLN2
			TSTD1
			USF1
			FER
			ABCA2
			C8G
			C9orf139
			CLIC3
			FBXW5
			FUT7
			LCN12
			LCNL1
			LINC02692
			PAXX
			PTGDS
			KIRREL1
			KIRREL1-IT1
			NXPH1
			DIO2
			DIO2-AS1
			ZMIZ2
			LINC00583
			PES1P2
			CSNK1G1
			PPIB
			RAP1B
			RPL10P12
			RPSAP12
			FOXP1-IT1
			EFNB1
			NPAP1P6
			CD44
			LINC02607
			NDUFA12P1
			CORO2A
			TBC1D2
			LINC00500
			RGS9
			HMGA2-AS1
			MAN1A2P1
			RANBP3L
			EIF4BP3
			ARHGEF28
			DTX1
			IMMP1LP2
			OAS2
			RPS15AP32
			TMF1P1
			PRTG
			COPB1
			PSMA1
			EIF2AP4
			RUNX1T1
			RHBDD1
			AK5
			NREP
			NREP-AS1
			ADAMTS20
			CCDC191
			QTRT2
			ATR
			PLS1
			RPL6P9
			LINC01525
			GALNT3
			CLASP1
			CAST
			ADPGK
			ADPGK-AS1
			SMKR1
			SNRPGP3
			STRIP2
			SV2B
			LINC02281
			LINC02327
			HNRNPA1P60
			LINC00326
			CAPG
			RPSAP22
			SH2D6
			HSPA8P17
			LINC02464
			NAV3
			DLEU2L
			EFCAB7
			ITGB3BP
			RF02105
			RF02106
			RF02107
			RF02108
			RF02109
			RF02110
			LINC01593
			SLC5A7
			ENPP7P1
			MCCC1
			MCCC1-AS1
			CADPS
			LINC02653
			HDAC8
			CHMP1B
			CHMP1B-AS1
			CD53
			NRBF2P3
			OR11I1P
			CXorf56
			NKRF
			SEPT6
			UBE2A
			MYO10
			ARFIP1
			TIGD4
			PAPOLG
			MINDY2
			RPS20P25
			FNBP1L
			LNX2
			UBE2H
			PGBD4P2
			RIMS4
			YWHAB
			NAALADL2
			TSG101
			UEVLD
			YWHABP2
			LINC02645
			ACBD7
			GAPDHP45
			NMT2
			OLAH
			RPP38
			RPP38-DT
			NEK3
			NEK5
			FAT3
			PGAM1P9
			GORASP2
			CRPPA
			DYNC1H1
			HSP90AA1
			NF2
			NIPSNAP1
			RPEP4
			THOC5
			TRIO
			HEATR5A
			ITSN2
			PON1
			CYP2J2
			HOOK1
			GALP
			ZNF444
			ZNF787
			ZSCAN5B
			ZSCAN5C
			TNFRSF11B
			MRPS36P2
			KRT8P9
			LARP6
			LRRC49
			THAP10
			THSD4
			ASAP1
			PPIAP58
			URI1
			KRT8P7
			OXNAD1
			RFTN1
			CACNA1A
			LINC01513
			LINC02212
			LINC02213
			ROPN1L
			ROPN1L-AS1
			RPL30P7
			KALRN
			GALK2
			LINC01375
			SNRPD2P1
			MARCO
			PSD3
			LINC00710
			GATA3
			GATA3-AS1
			GIHCG
			TSHZ2
			ZNF679
			ZNF736
			FBXL21P
			IL9
			SLC25A48
			FAR2
			MED28P6
			PRND
			PRNT
			RASSF2
			LINC02537
			CROCCP2
			LINC01783
			NBPF1
			RPL12P47
			RPS2P28
			ZNF318
			FAM71C
			HNRNPA1P37
			ANXA1
			SLC10A7
			ABRAXAS1
			GPAT3
			HELQ
			MRPS18C
			RPL30P5
			SLC25A14P1
			EIF4A2P3
			OR10Q1
			OR10W1
			OR1S1
			OR1S2
			OR5BL1P
			OR9Q1
			OR9Q2
			IPPK
			CASTOR2
			LCE1A
			LCE1B
			LCE1C
			LCE6A
			SMCP
			FREM3
			CEP85L
			PLN
			SSXP10
			Z99496.2
			CARMIL1
			GNAI2P2
			POLR3A
			RPS24
			CD200R1
			GTPBP8
			NPHP3
			NPHP3-ACAD11
			NPHP3-AS1
			TCF12
			KATNAL1
			DNAJC19P9
			MIS18BP1
			SCG2
			LINC02159
			LINC02473
			EEF1DP3
			FRY
			PIP5K1B
			NMD3
			OR6M1
			OR6M2P
			OR6M3P
			TMEM225
			PIBF1
			ADCY3
			DNAJC27
			DNAJC27-AS1
			RF00016
			IL21
			IL21-AS1
			PACSIN2
			CCDC144NL-AS1
			SPECC1P2
			USP22
			FSIP2
			FSIP2-AS1
			ST8SIA4
			BCKDHB
			RPL17P25
			LINC02113
			FRMPD4
			NMUR2
			LINC02540
			CABP7
			NEK10
			SLC4A7
			VCAN
			VCAN-AS1
			FAM13B
			PKD2L2
			ATF7IP
			RPL30P11
			RPA3
			UMAD1
			EFHD1
			EIF4E2
			AK9
			FIG4
			FOXG1
			FOXG1-AS1
			LINC01551
			LINC02282
			CAMSAP3
			MCOLN1
			PNPLA6
			XAB2
			KCNH2
			NOS3
			GRM5-AS1
			FGFR2
			CYB5R4
			RGS6
			COX7CP1
			FNDC3A
			ARHGAP42
			C1orf68
			KPRP
			LCE2A
			LCE2B
			LCE2C
			LCE4A
			LCEP1
			LCEP2
			CACHD1
			RAVER2
			LRRIQ1
			CRYBG2
			ZNF683
			CDYL
			WASF3
			WASF3-AS1
			SLC39A11
			PLSCR4
			NEB
			RIF1
			C2orf68
			GNLY
			SFTPB
			USP39
			PDZRN3
			KCNMB2
			KCNMB2-AS1
			ARHGEF9
			LINC01278
			RP1
			NR1H4
			PTTG3P
			SGK3
			CCHCR1
			HCG27
			POLR2LP1
			POU5F1
			PSORS1C1
			PSORS1C2
			PSORS1C3
			TCF19
			COX6CP13
			DNAJC6
			POLR1B
			TTL
			VINAC1P
			SLC9B1
			SLC9B2
			DDX39AP1
			FTH1P7
			CTNNA2
			DAAM1
			CASP12
			CASP17P
			RSL24D1P11
			PUM2
			PTPRK
			FUNDC2P2
			LINC00607
			DLGAP2
			ACAD9
			MARK2P17
			MARK2P6
			MARK3P3
			RAB7A
			RPS15AP16
			SLC1A1
			FANCI
			POLG
			AATF
			ELOCP29
			OR1M1
			OR7D2
			OR7G1
			OR7G15P
			OR7G2
			OR7G3
			ZNF317
			COQ10B
			NPM1P46
			RF00394
			SF3B1
			TRANK1
			NLN
			SAMD4A
			SLC16A7
			LIMCH1
			RPL12P20
			PTPRT
			ADH5P3
			FMN2
			ITM2B
			COL6A6
			SBF2
			SBF2-AS1
			ESRG
			RPS15P5
			GCSAM
			TBILA
			OLFML1
			MYO1D
			DUXA
			USP29
			ZIM3
			ZNF264
			PIKFYVE
			CTNND2
			PRPF38AP1
			DNAJC2
			PSMC2
			RPS29P16
			KRT18P64
			DNAJA1P2
			CYP4A11
			CYP4Z2P
			RIC1
			FADS2P1
			ADGRB3
			NPIPB4
			RRN3P1
			SMG1P4
			RAB11FIP4
			PRMT8
			ABI3BP
			CFH
			KCNT2
			ERVK3-1
			ZNF544
			ZNF8
			ZSCAN22
			THSD7B
			CLDN15
			DGAT2L7P
			FIS1
			MOGAT3
			NAT16
			PLOD3
			RPSAP46
			VGF
			ZNHIT1
			C5orf24
			DDX46
			TXNDC15
			CARM1P1
			LNCARSR
			TLE4
			LINC00691
			NPM1P23
			SPOCK1
			DCTN6
			MBOAT4
			EIF4A2P1
			PTPN2
			SEH1L
			STK25P1
			BDH2
			CENPE
			PDCL3P2
			KIF1A
			KIAA1211
			CD38
			ADAM23
			HNRNPA1P51
			KCTD9P6
			C1D
			PNO1
			PPIAP64
			WDR92
			RERE
			PTCSC3
			AMT
			GPX1
			RHOA
			RHOA-IT1
			TCTA
			USP4
			DLGAP1
			CASP9
			CELA2B
			DNAJC16
			SCARNA21B
			LINC02404
			CYP4A22
			CYP4A22-AS1
			CYP4Z1
			LINC00853
			MTND1P34
			PDZK1IP1
			ALX4
			ACADSB
			IKZF5
			PSTK
			ACTA2
			ACTA2-AS1
			FAS
			RF02116
			FTH1P10
			LINC02111
			LINC02217
			NCALD
			CYP2A6
			CYP2A7
			CYP2A7P2
			CYP2F2P
			CYP2G1P
			PRKG2
			ATL1
			MAP4K5
			SNRPGP1
			LINC00251
			RPL31P41
			ZNF521
			C10orf91
			LINC01165
			DNAAF4
			DNAAF4-CCPG1
			KLHL29
			HNRNPCP6
			OR13H1
			ARG2
			COX7A2P1
			RDH11
			RDH12
			VTI1B
			NUDT19P4
			ARHGAP6
			ATG3
			BTLA
			OR7E100P
			SLC35A5
			PAPSS2
			RPS26P38
			ANAPC5
			CAMKK2
			LPAR6
			RB1
			RCBTB2
			ART2P
			LINC01537
			PDE2A
			HECW2
			CHD6
			RPL12P11
			BANF1P5
			BCAP29
			RF01233
			SLC26A4
			SLC26A4-AS1
			WBP1LP2
			METTL5
			UBR3
			SRRM3
			EPHB1
			ABCB11
			G6PC2
			SPC25
			COL9A3
			LINC00659
			MRGBP
			NTSR1
			OGFR
			OGFR-AS1
			DUXAP2
			NACA4P
			ALG11
			FABP5P2
			CYCTP
			PDE11A
			RBM45
			BARD1
			SNHG31
			CTIF
			RPL3P6
			ZSWIM6
			HNRNPA3P15
			DAB1
			LARP7P4
			MAPK4
			LINC02493
			TSEN2
			HNRNPA1L2
			SUGT1
			EMP1
			MTND5P34
			FEM1B
			ITGA11
			DNAJB9
			PNPLA8
			THAP5
			CRISP3
			PGK2
			KIF7
			TICRR
			AAR2
			EPB41L1
			RAD51B
			LINC02550
			RPS17P15
			ACSBG1
			DNAJA4
			C1orf105
			DNM3
			PIGC
			GOT2P1
			MTCO2P34
			RYR3
			ABCA7
			CNN2
			GPX4
			POLR2E
			SBNO2
			LINC02296
			ST3GAL1
			ARL13B
			HMGN1P7
			PROS1
			LINC00708
			DDX43P2
			AMMECR1LP1
			CMSS1
			ALDH9A1
			TMCO1
			TMCO1-AS1
			MAL2-AS1
			FGF14
			DYNLL1P2
			LINC02308
			STON2
			MTUS2
			HSD17B3-AS1
			BICD1
			GLS
			STAT1
			LINC01742
			EPRS
			SLC30A10
			HNRNPA1P47
			HSD17B4
			PSME2P2
			BLOC1S5
			BLOC1S5-TXNDC5
			EEF1E1
			EEF1E1-BLOC1S5
			FLG-AS1
			PUDPP2
			RPTN
			TCHH
			ARHGAP32
			ZNF123P
			MERTK
			TMEM150C
			LINC01810
			ZRANB1
			RF00424
			OXR1
			GRIN2A
			USP53
			DOCK8
			GSAP
			FAM98B
			HINT2P1
			FO082796.2
			CTBP2P5
			KLF3
			KLF3-AS1
			MYOCOS
			PRRC2C
			PTPRR
			OR7E28P
			OR7E89P
			OR7E90P
			SNX10
			LINC00504
			ESRRG
			LUCAT1
			SNTA1
			RF00554
			CUEDC1
			SRSF1
			VEZF1
			AATBC
			AGPAT3
			MYL6P1
			GYPE
			HMGN2P31
			INSL4
			RLN2
			LINC01923
			PLCL1
			RPS7P5
			DOCK10
			RTN4IP1
			PBK
			LINC01116
			LINC01117
			C2orf42
			FAM136A
			PCYOX1
			SNRPG
			TIA1
			FRMD4A
			NUTF2P5
			LINC01194
			RAPGEF6
			FGD6
			VEZT
			RPEP2
			HIVEP2
			LINC01277
			ABCA5
			RF00561
			SNRPGP4
			UBE2E2
			FBXO9
			GSTA4
			ICK
			CNGB1
			TEPP
			RPL23AP32
			SPTBN1
			C5orf22
			DROSHA
			NSF
			API5P2
			ANK3
			PPARGC1B
			FAM114A1
			SLC25A26
			NMRK1
			OSTF1
			HTR5A
			HTR5A-AS1
			ARHGEF10
			CLN8
			LELP1
			LOR
			PRR9
			DCLK3
			HSPD1P6
			CPNE4
			CHRNA9
			LINC02265
			NEK6
			SGSM1
			AF241726.1
			FTLP16
			KCTD15
			CDC42P4
			MCUB
			SETP20
			CTSZ
			NELFCD
			TUBB1
			SH3YL1
			CDKL4
			SOS1
			ADA2
			CECR3
			FAM32BP
			ABTB2
			AJAP1
			Z98886.1
			IDO2
			RETNLB
			KLHL31
			MYL10
			AGBL1
			SLC30A6
			SPAST
			CYCSP20
			RNY1P11
			TSPAN33
			TENM4
			IFNG
			IL26
			UBXN2B
			FAM210B
			ANKRD20A1
			EEF1A1P11
			LINC01787
			UBE2WP1
			LINC02181
			RBBP7
			REPS2
			RPTOR
			LINC02275
			HNRNPA1P12
			ZFYVE16
			ALK
			ISCUP1
			LINC01681
			SLC38A4
			NOP56P3
			PAWR
			DZANK1
			POLR3F
			RBBP9
			RPL21P3
			RPS19P1
			SEC23B
			OR6W1P
			PIP
			SEC24B
			SEC24B-AS1
			LINC00383
			FABP5P6
			BHMG1
			DM1-AS
			DMPK
			DMWD
			FBXO46
			SIX5
			HECA
			MRPL3
			DEUP1
			CWH43
			TPI1P4
			NKAIN3
			CASC17
			FMN1
			WDR89
			LINC01118
			C6
			ANKRD55
			C1GALT1P2
			YTHDF3
			YTHDF3-AS1
			FAM149A
			TLR3
			CRIP1P1
			RAF1
			PDE4B
			CIITA
			TVP23A
			STOX2
			CDK5RAP2
			LHX2
			CHCHD2P4
			LINC01010
			EML6
			RTN4
			ELK1P1
			CT45A10
			CT45A2
			CT45A6
			CT45A7
			CT45A8
			CT45A9
			SAGE1
			ARPP21
			ARPP21-AS1
			PIP4K2A
			JUN
			LINC01135
			CDK7P1
			ARMH3
			KCNIP2
			PTPRJ
			SERTAD2
			PRUNEP1
			SLC35B1
			SPOP
			DUX4
			DUX4L1
			DUX4L2
			DUX4L3
			DUX4L4
			DUX4L5
			DUX4L6
			Z82205.1
			RF00421
			TMPRSS2
			HERPUD2
			MRGPRX1
			FKBP10
			JUP
			KLHL10
			NT5C3B
			P3H4
			TSPAN18
			PCNPP2
			S1PR3
			RPL5P32
			LINC02627
			CYCSP34
			SUGT1P3
			TPTE2P5
			ADGRB1
			TSNARE1
			ARHGDIB
			ERP27
			LINC01489
			NCAPH
			BLVRA
			COA1
			ABHD14A
			ABHD14A-ACY1
			ABHD14B
			ACY1
			GPR62
			IQCF1
			PARP3
			PCBP4
			RRP9
