input.Down	input.Down2	input.Down2NoFDR	input.DownNoFDR
KRT18P42	ARF1P3	ARF1P3	KRT18P42
LOXHD1	FER1L6-AS2	FER1L6-AS2	LOXHD1
RNF165	ZFAND3	ZFAND3	RNF165
GPR88	RF00003	RF00003	GPR88
UTRN	NDUFAF6	NDUFAF6	UTRN
LINC02435	LINC01304	LINC01304	LINC02435
AGTPBP1	ENOX2	ENOX2	AGTPBP1
HDGFP1	KIZ	KIZ	HDGFP1
IGSF1	LINC00237	LINC00237	IGSF1
OR2AF1P	RPL24P2	RPL24P2	OR2AF1P
OR7L1P	KRT8P18	KRT8P18	OR7L1P
MGAT4A	MTND4LP18	MTND4LP18	MGAT4A
YWHAQP5	MTND6P25	MTND6P25	YWHAQP5
NBAT1	COL9A2	COL9A2	NBAT1
MMP20	SMAP2	SMAP2	MMP20
ZBTB20	PDSS2	PDSS2	ZBTB20
ZBTB20-AS4	SOBP	SOBP	ZBTB20-AS4
CERS3	GRIN3A	GRIN3A	CERS3
LINS1	PPP3R2	PPP3R2	LINS1
PRKXP1	HSPD1P15	HSPD1P15	PRKXP1
FBXL22	GRAMD1B	GRAMD1B	FBXL22
HERC1	SF3A3P2	SF3A3P2	HERC1
USP3	OSBPL1A	OSBPL1A	USP3
USP3-AS1	RPL12P10	RPL12P10	USP3-AS1
CYP19A1	SNHG26	SNHG26	CYP19A1
PCBP2P3	TOMM7	TOMM7	PCBP2P3
RF02271	ST3GAL5	ST3GAL5	RF02271
KAT6B	AHI1	AHI1	KAT6B
CD1A	LINC00271	LINC00271	CD1A
CD1C	RF00019	RF00019	CD1C
HMGN1P5	FLRT3	FLRT3	HMGN1P5
ANXA2	SETD5	SETD5	ANXA2
SGCD	LINC01013	LINC01013	SGCD
SLC22A10	MC3R	MC3R	SLC22A10
LSM3P2	ETS1	ETS1	LSM3P2
SUCLG2P2	KANSL1	KANSL1	SUCLG2P2
TMCC3	IFI16	IFI16	TMCC3
SPTLC1P2	PYHIN1	PYHIN1	SPTLC1P2
AF213884.2	ANK2	ANK2	AF213884.2
SLC39A8	MT1E	MT1E	SLC39A8
PHKBP1	MT1L	MT1L	PHKBP1
PLCB1	MT2A	MT2A	PLCB1
PPIAP65	MT3	MT3	PPIAP65
PGAM1P12	MT4	MT4	PGAM1P12
CRYBG1	LINC00885	LINC00885	CRYBG1
RF00019	PCYT1A	PCYT1A	RF00019
ECH1	SLC51A	SLC51A	ECH1
HNRNPL	ZDHHC19	ZDHHC19	HNRNPL
LGALS4	LINC01850	LINC01850	LGALS4
LGALS7B	RPL23AP29	RPL23AP29	LGALS7B
RINL	CLIC5	CLIC5	RINL
LINC02383	ENPP4	ENPP4	LINC02383
LINC02436	ENPP5	ENPP5	LINC02436
BEND6	AUH	AUH	BEND6
FTH1P15	NFIL3	NFIL3	FTH1P15
KIAA1586	TSPYL5	TSPYL5	KIAA1586
MRPL30P1	LINC01565	LINC01565	MRPL30P1
ZNF451	RPN1	RPN1	ZNF451
CEP55	MRPL35P4	MRPL35P4	CEP55
MYOF	PRPS2	PRPS2	MYOF
AF279873.3	PSMA6P2	PSMA6P2	AF279873.3
BUD31P1	AIG1	AIG1	BUD31P1
DUSP26	NCOR2	NCOR2	DUSP26
RNF122	ALS2	ALS2	RNF122
AASDH	MPP4	MPP4	AASDH
PAICS	LINC00538	LINC00538	PAICS
PPAT	PROX1-AS1	PROX1-AS1	PPAT
RPL7AP31	LOXHD1	LOXHD1	RPL7AP31
EPS15	RNF165	RNF165	EPS15
ADAMTSL3	SCARNA20	SCARNA20	ADAMTSL3
HILPDA	USP32	USP32	HILPDA
IMPDH1	CAPNS1P1	CAPNS1P1	IMPDH1
METTL2B	GBP1P1	GBP1P1	METTL2B
ANKFN1	GBP6	GBP6	ANKFN1
HSD17B3	LINC02065	LINC02065	HSD17B3
SLC35D2	SREK1	SREK1	SLC35D2
ADAMTS18	HIPK2	HIPK2	ADAMTS18
SLC16A10	CCNY	CCNY	SLC16A10
SETP9	CREM	CREM	SETP9
SLAMF1	LINC02634	LINC02634	SLAMF1
RPL21P103	ACTL8	ACTL8	RPL21P103
RPL12P23	MTUS2-AS2	MTUS2-AS2	RPL12P23
C9orf170	TRDC	TRDC	C9orf170
FP325330.3	TRDD1	TRDD1	FP325330.3
CCDC26	TRDD2	TRDD2	CCDC26
ADCK5	TRDD3	TRDD3	ADCK5
CPSF1	MON1B	MON1B	CPSF1
FBXL6	HNRNPCL1	HNRNPCL1	FBXL6
SCRT1	LINC01784	LINC01784	SCRT1
SLC39A4	PRAMEF1	PRAMEF1	SLC39A4
SLC52A2	PRAMEF11	PRAMEF11	SLC52A2
TMEM249	PRAMEF12	PRAMEF12	TMEM249
VPS28	PRAMEF30P	PRAMEF30P	VPS28
GBA3	CHAF1B	CHAF1B	GBA3
INSR	CLDN14	CLDN14	INSR
RF00100	MORC3	MORC3	RF00100
SEC22B	INTS4	INTS4	SEC22B
GALNT17	KCTD14	KCTD14	GALNT17
MACROD2	HEPACAM2	HEPACAM2	MACROD2
MACROD2-IT1	SAMD9L	SAMD9L	MACROD2-IT1
RNF11P2	GKAP1	GKAP1	RNF11P2
CUBNP2	KIF27	KIF27	CUBNP2
