input.Down	input.Down2	input.Down2NoFDR	input.DownNoFDR
PPAT	ZFAND3	ZFAND3	PPAT
PIP4K2A	RF00003	RF00003	PIP4K2A
EPS15	SF3A3	SF3A3	EPS15
ADAMTSL3	RNF138P2	RNF138P2	ADAMTSL3
MRPS33P4	RPS29P6	RPS29P6	MRPS33P4
IMPDH1	EDNRB-AS1	EDNRB-AS1	IMPDH1
ANKFN1	NDUFAF6	NDUFAF6	ANKFN1
SLC35D2	SRP54	SRP54	SLC35D2
LINC02183	LINC01304	LINC01304	LINC02183
PPP1R37	ENOX2	ENOX2	PPP1R37
ZC4H2	LINC00237	LINC00237	ZC4H2
ADAMTS18	DCAF8L1	DCAF8L1	ADAMTS18
SLC16A10	KRT8P18	KRT8P18	SLC16A10
SLAMF1	CNN2P6	CNN2P6	SLAMF1
RPL21P103	IRS1	IRS1	RPL21P103
RPL12P23	MTND6P25	MTND6P25	RPL12P23
C9orf170	SMAP2	SMAP2	C9orf170
FP325330.3	SOBP	SOBP	FP325330.3
LINC01287	TTC4P1	TTC4P1	LINC01287
CCDC26	GRIN3A	GRIN3A	CCDC26
COX6A1P3	HSPD1P15	HSPD1P15	COX6A1P3
TLL1	GRAMD1B	GRAMD1B	TLL1
ADCK5	IMPDH1P8	IMPDH1P8	ADCK5
MOCS2	HTR1B	HTR1B	MOCS2
RAD51B	OSBPL1A	OSBPL1A	RAD51B
GBA3	PPP1R3A	PPP1R3A	GBA3
MFSD4BP1	LINC02242	LINC02242	MFSD4BP1
INSR	CUL4A	CUL4A	INSR
LINC02563	SNHG26	SNHG26	LINC02563
SEC22B	ST3GAL5	ST3GAL5	SEC22B
GALNT17	FLRT3	FLRT3	GALNT17
MACROD2-IT1	LDHAL6EP	LDHAL6EP	MACROD2-IT1
DNAJC1	BCL11A	BCL11A	DNAJC1
LINC01815	SETD5	SETD5	LINC01815
CUBNP2	LINC01013	LINC01013	CUBNP2
PRDX6	MC3R	MC3R	PRDX6
