input.Down	input.Down2	input.Down2NoFDR	input.DownNoFDR
			RC3H1
			KPNA6
			VPS11
			LCA5L
			WRB
			MED16
			RGPD1
			OXSR1
			SDHB
			RAB7A
			PCDHB14
			SNX2
			SVIL
			SPTA1
			CTBP2
			DCC
			MMS22L
			PTBP1P
			CFAP74
			SDCBP2
			ERICH1
			PAXBP1-AS1
			SYNJ1
			MYMX
			DIAPH3-AS2
			OFCC1
			PBX1
			LAG3
			LDHAP5
			ZFPM2
			DNM1P46
			CASC16
			ADAP2
			LINC02085
			LANCL2
			ATE1
			R3HDM4
			DHFRP3
			DNAJB5P1
			TRPV6
			RASGRF1
			RPL38
			TNFSF9
			CEP95
			DDX5
			LGR6
			CCDC92B
			MYH9
			ARHGEF33
			PSG11
			PPRC1
			ERICH6
			NDST1
			SGK1
			PSMC1P12
			GLIPR2
			RPL17P35
			AFF1
			SLC1A2
			LINC02009
			MFHAS1
			ANAPC10
			GPR141BP
			GPT
			DENND1C
			ESD
			SIGLECL1
			Z82190.1
			ITGB5
			RF00012
			WIPF1
			ANKFN1
			MCUB
			COL27A1
			CPNE7
			BSG
			SEC31A
			THAP9-AS1
			ASAH1
			GRAMD1B
			REV3L
			KIDINS220
			IMMP1LP2
			STIM2
			SRSF10
			FOXC1
			LINC01091
			SIAE
			ALDH1A2
			ZNF354C
			UNC5D
			CCDC88A
			LINC01899
			GCDH
			RPS6P25
			EFCAB14
			TARDBP
			MYOZ1
			TMEM179B
			ACAA2
			RF00283
			SCARNA17
			SNHG22
			HIST1H1PS1
			HIST1H3D
			L3MBTL3
			LINC02124
			FLVCR1
			FLVCR1-DT
			KSR1
			LAX1
			RNF165
			LAMA4
			PCNX2
			NUTM2A-AS1
			MILR1
			PPP1R7
			LINC01943
			PCDHA1
			CLCN3P1
			TREM1
			NDUFA5P6
			EXOC7P1
			IL6ST
			KDM5B
			WHRN
			RAB5A
			ESR2
			SAMD11
			PKMP5
			CSHL1
			GH1
			SLCO3A1
			CLNK
			ATF7
			ATF7-NPFF
			CARD14
			BLM
			FGF17
			C4orf19
			CEP192
			HMGB3P24
			TMEM120A
			OR4F28P
			SOX15
			PTPN23
			TMEM154
			FAM107B
			RPL17P10
			KRBA1
			RPL35AP24
			TCP10
			RNF126P1
			C2orf40
			ELOCP18
			TANC2
			EPAS1
			MLH3
			HAGH
			IGSF3
			RPL31P52
			CSTF1
			EMSY
			TUT7
			NFASC
			MYO9B
			CALCOCO1
			ZNF425
			EPHB1
			PCA3
			THOC3
			PTPRD
			PTPRD-AS2
			PEBP4
			SMCHD1
			HK3
			NOL7
			SCARNA16
			SEC14L1
			SNHG20
			CPT1C
			ITPA
			ENTPD6
			EXO1
			RPAP3
			ZNF529
			PCTP
			RF00432
			FAM138B
			IP6K1
			ZNF124
			TOX2
			SCUBE2
			ZCCHC12
			TAF5L
			HECW2
			LINC01259
			TNK1
			LINC00652
			LINC00653
			LPIN1
			TPPP
			GADD45B
			LINC01695
			CFAP20
			RSPRY1
			AUTS2
			MARCO
			AF131216.1
			PSMG3
			PSMG3-AS1
			ACACB
			TCF12
			FLAD1
			SMTN
			STAT3
			SLC38A4
			CLCN1
			HIST1H1C
			STX1B
			MRFAP1L1
			NIFKP9
			CDH23
			ZFHX3
