Genomic feature	Number of regions
Promoter.Up	603
Promoter.Down	361
Exon	271
Intron	2782
TES (transcription end sites)	110
Dis5 (5' distal regions)	1199
Dis3 (3' distal regions)	375
Intergenic	431
